,Taux d’Utilisation des Capacités,Evolution de la production au cours des trois prochains mois,Evolution de la production par rapport au mois précédent,Evolution des nouvelles commandes par rapport au mois précédent,Evolution des ventes au cours des trois prochains mois,Evolution des ventes par rapport au mois précédent,Niveau des carnets de commandes par rapport au mois précédent,Niveau des stocks de PF,Evolution de la production au cours des trois prochains mois (2),Evolution de la production par rapport au mois précédent (2),Evolution des nouvelles commandes par rapport au mois précédent (2),Evolution des ventes au cours des trois prochains mois (2),Evolution des ventes par rapport au mois précédent (2),Niveau des carnets de commandes par rapport au mois précédent (2),Niveau des stocks de PF (2),Evolution de la production au cours des trois prochains mois (3),Evolution de la production par rapport au mois précédent (3),Evolution des nouvelles commandes par rapport au mois précédent (3),Evolution des ventes au cours des trois prochains mois (3),Evolution des ventes par rapport au mois précédent (3),Niveau des carnets de commandes par rapport au mois précédent (3),Niveau des stocks de PF (3),Evolution de la production au cours des trois prochains mois (4),Evolution de la production par rapport au mois précédent (4),Evolution des nouvelles commandes par rapport au mois précédent (4),Evolution des ventes au cours des trois prochains mois (4),Evolution des ventes par rapport au mois précédent (4),Niveau des carnets de commandes par rapport au mois précédent (4),Niveau des stocks de PF (4),Evolution de la production au cours des trois prochains mois (5),Evolution de la production par rapport au mois précédent (5),Evolution des nouvelles commandes par rapport au mois précédent (5),Evolution des ventes au cours des trois prochains mois (5),Evolution des ventes par rapport au mois précédent (5),Niveau des carnets de commandes par rapport au mois précédent (5),Niveau des stocks de PF (5),Evolution de la production au cours des trois prochains mois (6),Evolution de la production par rapport au mois précédent (6),Evolution des nouvelles commandes par rapport au mois précédent (6),Evolution des ventes au cours des trois prochains mois (6),Evolution des ventes par rapport au mois précédent (6),Niveau des carnets de commandes par rapport au mois précédent (6),Niveau des stocks de PF (6),Utilisation des capacités de production (cumulé),PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL,DEMI PRODUITS 
2010-01-01,74.4566,9.8175,13.2414,2.323,14.4991,-13.6528,-12.7443,-0.7408,47.2676,27.7702,-6.3416,35.116,22.9182,-11.6423,2.7759,73.0252,62.7009,-20.2621,42.0292,61.4964,-3.9087,4.7815,66.7282,-32.4445,1.0372,68.1675,-11.9422,-27.5163,-1.9009,10.0165,14.2463,2.5142,11.7951,7.9888,-45.3577,-15.0894,14.7639,5.3855,25.8057,16.6178,5.3977,10.0073,30.6325,,,
2010-02-01,69.8374,54.4302,-34.6043,-20.5543,52.8189,-41.9382,-32.8494,4.3604,48.0695,-31.9141,-8.8619,36.6187,-0.7652,-23.3266,1.4841,49.9528,-58.1157,-27.3858,19.9784,2.6135,-15.0631,1.8322,59.5812,6.4756,43.4099,75.1769,44.4294,-24.3825,1.1554,6.2743,10.1283,-8.3797,10.9053,11.0402,-46.5608,-11.978,23.768,23.7533,38.8312,18.3278,21.8234,-15.7373,1.7342,,,
2010-03-01,71.7566,57.2167,67.0616,45.4668,57.6517,69.7872,-11.1493,0.2942,42.1635,43.202,43.5167,41.5785,15.726,1.5586,2.2848,51.9155,29.9028,51.2608,52.1451,-32.1088,28.7709,2.742,6.3958,59.7031,52.6465,8.8407,57.1522,-36.0994,-1.9992,0.6868,14.6015,2.7979,7.8766,16.0255,-31.7989,-10.7031,37.0104,28.3637,2.5539,12.1428,29.0197,-14.1259,29.8423,,,
2010-04-01,73.1668,52.4206,7.6164,14.6002,47.8188,2.9047,-11.3282,1.0788,43.4256,26.5387,18.8782,49.4431,11.0761,-8.5443,-1.7371,55.5361,50.7202,27.4945,52.5092,25.9743,4.9463,-6.2637,15.1485,5.7506,6.2078,69.2679,-11.7838,-35.5397,7.4905,36.4123,1.32,15.268,31.7493,13.7922,-22.493,-5.0438,-5.4327,8.9363,9.1635,7.9489,-9.2977,-15.3027,0.4325,,,
2010-05-01,72.8261,51.6155,55.1036,41.0266,45.9825,48.6089,-4.294,-2.7948,35.2355,7.1085,-18.409,41.9697,6.3448,3.722,18.6102,52.2879,-22.4703,-54.9623,51.2808,5.8762,31.7255,28.5652,-17.395,5.787,-43.9378,35.5189,-56.7742,-40.6836,33.5896,21.6873,22.4528,34.83,16.725,13.9917,-31.304,-5.8237,-5.3677,2.975,0.3897,3.0654,-14.8167,-12.0981,24.6836,,,
2010-06-01,72.912,48.5912,34.6798,28.5767,29.9475,47.1398,-6.3578,-3.777,30.2272,4.9625,37.714,29.2204,42.7164,9.1669,6.7099,43.3755,-36.9587,50.7671,39.7409,49.6392,44.2317,5.6691,-32.5849,51.6956,15.9594,20.9388,24.4468,-48.7028,25.702,2.8104,39.1168,23.4517,-6.595,21.5971,-15.9312,3.2309,46.1996,22.2585,52.008,11.0281,43.1092,-0.6938,12.7874,,,
2010-07-01,73.0067,24.8657,37.5131,30.4848,8.3323,44.0721,-10.4208,1.6483,10.8753,22.9446,33.4564,9.4884,33.3791,-4.8517,3.7815,17.3902,18.4483,48.6804,5.6788,46.9202,19.0604,4.5407,-24.1751,2.6731,8.4974,28.0258,-4.69,-47.5756,2.5702,-24.2986,35.3356,11.8202,-20.7976,19.2745,-21.6475,8.2836,40.6901,24.5385,50.6234,16.7095,30.024,17.9102,6.9852,,,
2010-08-01,65.267,-10.2405,4.2277,18.9194,-1.016,8.1613,7.1733,-0.9099,32.3237,-20.4806,7.6658,40.0122,-11.0638,-18.6442,2.1963,55.5883,-32.6729,6.7838,50.7751,-0.5317,-35.5567,8.0156,24.0748,-7.2768,40.2079,76.0499,-13.4302,-38.0462,0.6791,24.496,-26.1711,-35.5095,39.2785,-48.5577,-18.8554,-9.2716,88.1202,-68.8116,-59.3039,40.9732,-82.6446,21.4864,-0.7771,,,
2010-09-01,76.8869,-9.5364,-5.0909,-5.6072,-8.2089,-12.513,-8.0229,-2.5594,17.509,26.4691,23.6077,31.0999,26.7238,-2.9103,5.1994,13.2669,46.9031,44.4317,39.8734,50.0791,8.1452,4.9377,53.6249,8.7988,-1.2464,57.0895,15.6484,-27.7845,8.4445,37.4201,11.0866,12.9523,44.1025,7.7298,-3.9509,-3.5165,38.227,50.615,48.463,36.1878,46.5365,-3.3276,33.7141,,,
2010-10-01,75.9205,13.9783,13.0789,7.3139,9.6387,25.8544,-13.6656,-4.7456,23.7719,18.8257,33.3459,15.1253,26.4697,-9.2053,6.268,29.4646,9.2134,45.8296,26.6479,20.8026,-14.3651,9.068,33.3428,23.1954,24.9879,-2.2582,16.3732,-13.4883,11.9368,2.8562,49.358,41.9205,14.9108,52.1338,6.5479,7.2134,22.5805,65.4805,60.5345,-1.6204,63.5028,35.7339,16.6957,,,
