,VA Peche (Mdh)
1998Q1,1064.6697
1998Q2,1062.2591
1998Q3,1063.0416
1998Q4,1092.7672
1999Q1,1106.5865
1999Q2,1148.2098
1999Q3,1141.4214
1999Q4,1196.1153
2000Q1,1243.072
2000Q2,1257.9111
2000Q3,1259.021
2000Q4,1320.4823
2001Q1,1300.0738
2001Q2,1268.3868
2001Q3,1265.5205
2001Q4,1129.8546
2002Q1,1045.4203
2002Q2,870.35
2002Q3,873.0193
2002Q4,803.2279
2003Q1,790.4974
2003Q2,812.5863
2003Q3,734.7164
2003Q4,706.678
2004Q1,690.6257
2004Q2,739.6611
2004Q3,732.1793
2004Q4,716.6664
2005Q1,783.6734
2005Q2,945.7034
2005Q3,893.2021
2005Q4,866.0462
2006Q1,891.1797
2006Q2,1038.5159
2006Q3,698.824
2006Q4,555.5805
2007Q1,738.507
2007Q2,729.7405
2007Q3,686.0245
2007Q4,739.3743
2008Q1,872.5921
2008Q2,919.7651
2008Q3,874.1337
2008Q4,662.0572
2009Q1,848.0114
2009Q2,763.9536
2009Q3,871.552
2009Q4,857.7823
2010Q1,780.7438
2010Q2,777.7527
2010Q3,764.3364
2010Q4,488.7812
2011Q1,940.7493
2011Q2,874.84
2011Q3,863.4931
2011Q4,830.554
2012Q1,852.4247
2012Q2,927.7477
2012Q3,983.9785
2012Q4,1086.2686
2013Q1,1424.6755
2013Q2,1194.9293
2013Q3,1167.0694
2013Q4,1096.9063
2014Q1,992.0595
2014Q2,1259.7771
2014Q3,1157.9582
2014Q4,1276.2052
2015Q1,1253.0704
2015Q2,1267.2758
2015Q3,1237.191
2015Q4,1328.4627
2016Q1,1399.7502
2016Q2,1306.11
2016Q3,1216.8614
2016Q4,1345.8832
2017Q1,1220.1178
2017Q2,1195.9524
2017Q3,1221.3032
2017Q4,1143.4243
2018Q1,1015.5943
2018Q2,1074.7248
2018Q3,1020.1977
2018Q4,1074.5663
2019Q1,1268.5289
2019Q2,1147.1681
2019Q3,1276.9803
2019Q4,1068.3493
2020Q1,1372.2842
2020Q2,1143.0751
2020Q3,1792.5457
2020Q4,1035.1307
2021Q1,1399.8062
2021Q2,1526.2448
2021Q3,1397.4985
2021Q4,1549.0011
2022Q1,1204.2196
2022Q2,1241.9655
2022Q3,812.5034
2022Q4,1391.1528
2023Q1,1143.1496
2023Q2,1274.2535
2023Q3,1384.9583
2023Q4,1168.7685
2024Q1,1341.3576
2024Q2,1184.4653
2024Q3,1665.8425
2024Q4,1215.8436
2025Q1,1327.6393
2025Q2,1084.3136
2025Q3,1249.0851
2025Q4,1042.2144
2026Q1,1302.4141
