,VA Transports (Mdh)
1998Q1,3675.0075
1998Q2,3681.6048
1998Q3,3786.088
1998Q4,3911.5941
1999Q1,3938.4219
1999Q2,4081.712
1999Q3,4090.2548
1999Q4,4229.9342
2000Q1,4344.5406
2000Q2,4401.3283
2000Q3,4452.9295
2000Q4,4467.3523
2001Q1,4588.1944
2001Q2,4525.0059
2001Q3,4522.8004
2001Q4,4437.6623
2002Q1,4527.7181
2002Q2,4586.1149
2002Q3,4545.762
2002Q4,4576.3851
2003Q1,4481.519
2003Q2,4511.1574
2003Q3,4629.3377
2003Q4,4792.8277
2004Q1,4946.4724
2004Q2,5093.0798
2004Q3,5253.5919
2004Q4,5372.252
2005Q1,5528.6789
2005Q2,5616.5621
2005Q3,5658.213
2005Q4,5721.4859
2006Q1,6287.1299
2006Q2,6462.3172
2006Q3,6535.5767
2006Q4,6631.4377
2007Q1,6503.8072
2007Q2,6646.6864
2007Q3,6760.4112
2007Q4,6859.7198
2008Q1,7164.1521
2008Q2,6719.9971
2008Q3,6844.2351
2008Q4,6479.9854
2009Q1,6615.3854
2009Q2,6852.1287
2009Q3,6930.0047
2009Q4,7535.3613
2010Q1,7097.206
2010Q2,7241.2441
2010Q3,7342.0491
2010Q4,7492.3238
2011Q1,7673.2675
2011Q2,7761.8547
2011Q3,7860.1869
2011Q4,7955.0071
2012Q1,8153.9272
2012Q2,8074.7462
2012Q3,8047.5242
2012Q4,8113.9197
2013Q1,8102.9826
2013Q2,8133.2154
2013Q3,8238.4011
2013Q4,8213.7359
2014Q1,8285.3683
2014Q2,8520.8264
2014Q3,8492.836
2014Q4,8539.9693
2015Q1,8777.79
2015Q2,8990.0273
2015Q3,8986.4477
2015Q4,9109.735
2016Q1,9089.3246
2016Q2,8816.9598
2016Q3,9182.218
2016Q4,9174.7922
2017Q1,9223.1292
2017Q2,9141.8195
2017Q3,9171.4087
2017Q4,9196.2248
2018Q1,9125.4995
2018Q2,9479.9986
2018Q3,8961.8066
2018Q4,8983.976
2019Q1,9508.3187
2019Q2,10516.1419
2019Q3,9458.8177
2019Q4,9096.4267
2020Q1,8982.5289
2020Q2,5442.2186
2020Q3,6172.7827
2020Q4,6977.6893
2021Q1,7381.051
2021Q2,7386.4765
2021Q3,7946.8968
2021Q4,7756.0543
2022Q1,7614.3846
2022Q2,7871.4444
2022Q3,8108.5636
2022Q4,8066.6777
2023Q1,8346.63
2023Q2,8436.0329
2023Q3,8460.881
2023Q4,8582.8072
2024Q1,8976.5923
2024Q2,9188.5459
2024Q3,9182.129
2024Q4,9348.2866
2025Q1,9348.1447
2025Q2,9596.4739
2025Q3,9516.2167
2025Q4,9763.3063
2026Q1,9796.8557
