,Trafic aérien (Jan 18),Trafic globale gérés par l'ANP,Cabotage EXP,Cabotage IMP
2009-06-01,,28775607.0,,
2009-07-01,,34086658.0,,
2009-08-01,,39264265.0,,
2009-09-01,,,,
2009-10-01,,49407198.0,,
2009-11-01,,,,
2009-12-01,,59736238.0,,
2010-01-01,,6209007.0,,
2010-02-01,,10566360.0,,
2010-03-01,,17183378.0,,
2010-04-01,,22869520.0,,
2010-05-01,,29019743.0,,
2010-06-01,,34869611.0,,
2010-07-01,,40660452.0,,
2010-08-01,,45750959.0,,
2010-09-01,,51462449.0,,
2010-10-01,,57804527.0,,
2010-11-01,,63171993.0,,
2010-12-01,,69236242.0,,
2011-01-01,,5395502.0,,
2011-02-01,,10404413.0,,
2011-03-01,,16965907.0,,
2011-04-01,,22936838.0,,
2011-05-01,,29019412.0,,
2011-06-01,,34413848.0,,
2011-07-01,,40184639.0,,
2011-08-01,,45857241.0,,
2011-09-01,,51240196.0,,
2011-10-01,,56675500.0,,
2011-11-01,,62036720.0,,
2011-12-01,,69040585.0,,
2012-01-01,,5468361.0,,
2012-02-01,,11250285.0,,
2012-03-01,,17428028.0,,
2012-04-01,,23021636.0,,
2012-05-01,,29422001.0,,
2012-06-01,,35583721.0,,
2012-07-01,,41796322.0,,
2012-08-01,,47475575.0,,
2012-09-01,,52736588.0,,
2012-10-01,,58654543.0,,
2012-11-01,,64783704.0,,
2012-12-01,,71166540.0,,
2013-01-01,,4599000.0,,
2013-02-01,,9532941.0,,
2013-03-01,,15378495.0,,
2013-04-01,,21928236.0,,
2013-05-01,,27949158.0,,
2013-06-01,,33342428.0,,
2013-07-01,,39034257.0,,
2013-08-01,,45422872.0,,
2013-09-01,,51124520.0,,
2013-10-01,,57140847.0,,
2013-11-01,,62897342.0,,
2013-12-01,,67861034.0,,
2014-01-01,,5310824.0,,
2014-02-01,,11030874.0,236505.0,285131.0
2014-03-01,,18790301.0,391898.0,450429.0
2014-04-01,,26036712.0,540766.0,675562.0
2014-05-01,,32687583.0,,
2014-06-01,,39216258.0,816502.0,1054829.0
2014-07-01,,44929942.0,963679.0,1250412.0
2014-08-01,,50928658.0,,
2014-09-01,,57274097.0,1264884.0,1632203.0
2014-10-01,,63368158.0,1400147.0,1799228.0
2014-11-01,,68895997.0,1523201.0,1961239.0
2014-12-01,,75835304.0,1647108.0,2169129.0
2015-01-01,,5144568.0,115555.0,151452.0
2015-02-01,,10348288.0,257330.0,309470.0
2015-03-01,,17046464.0,388372.0,524732.0
2015-04-01,,23645383.0,518703.0,701135.0
2015-05-01,,34521207.0,666129.0,893785.0
2015-06-01,,36397570.0,791075.0,1046977.0
2015-07-01,,42260559.0,921605.0,1217950.0
2015-08-01,,48147872.0,1007165.0,1365499.0
2015-09-01,,54019001.0,1082979.0,1491838.0
2015-10-01,,59858657.0,1233750.0,1708857.0
2015-11-01,,65804752.0,1300804.0,1882083.0
2015-12-01,,82302617.0,1806988.0,2075845.0
2016-01-01,,6143511.0,67494.0,196023.0
2016-02-01,,11091932.0,163276.0,411429.0
2016-03-01,,18391260.0,318885.0,565871.0
2016-04-01,,25356582.0,397111.0,763476.0
2016-05-01,,32230746.0,545914.0,997776.0
2016-06-01,,38957092.0,652718.0,1206993.0
2016-07-01,,45219473.0,738074.0,1395037.0
2016-08-01,,52141885.0,838955.0,1621039.0
2016-09-01,,58041032.0,948165.0,1818236.0
2016-10-01,,64178911.0,1039688.0,2017593.0
2016-11-01,,70605746.0,1166522.0,2234727.0
2016-12-01,,77403721.0,1237964.0,2436960.0
2017-01-01,,6196819.0,101316.0,219462.0
2017-02-01,,16314247.0,176161.0,398822.0
2017-03-01,,19638673.0,272713.0,598954.0
2017-04-01,,27578914.0,364431.0,801153.0
2017-05-01,,35016685.0,488860.0,1071280.0
2017-06-01,,41692734.0,592341.0,1269458.0
2017-07-01,,48914754.0,700686.0,1469937.0
2017-08-01,,55681727.0,809819.0,1657424.0
2017-09-01,,62202014.0,822485.0,1818882.0
2017-10-01,,68828706.0,991135.0,1943051.0
2017-11-01,,76211693.0,1074868.0,2130750.0
2017-12-01,,83669015.0,1177476.0,2341802.0
2018-01-01,1692287.0,6580783.0,111557.0,198106.0
2018-02-01,3254092.0,13675829.0,201380.0,404480.0
2018-03-01,5117035.0,20627854.0,282767.0,580719.0
2018-04-01,7129896.0,27905206.0,331359.0,759908.0
2018-05-01,9561486.0,36397739.0,424373.0,968849.0
2018-06-01,10466062.0,43666546.0,502066.0,1137712.0
2018-07-01,12562287.0,50447739.0,596410.0,1308226.0
2018-08-01,14855087.0,57628781.0,674812.0,1461943.0
2018-09-01,16849052.0,64238545.0,776873.0,1620232.0
2018-10-01,18810195.0,70769965.0,862497.0,1784049.0
2018-11-01,20628920.0,76700574.0,923571.0,1931318.0
2018-12-01,22529630.0,85313180.0,988819.0,2143972.0
2019-01-01,1866604.0,7608913.0,84843.0,170550.0
2019-02-01,3553565.0,13482479.0,183933.0,311696.0
2019-03-01,5619906.0,21798028.0,261433.0,509010.0
2019-04-01,7937633.0,29268060.0,348121.0,666763.0
2019-05-01,9568771.0,37191518.0,436138.0,845427.0
2019-06-01,11669833.0,44075247.0,502498.0,1023779.0
2019-07-01,14074699.0,51459268.0,619013.0,1241205.0
2019-08-01,16695591.0,58595463.0,687794.0,1394344.0
2019-09-01,18877607.0,65961546.0,781234.0,1576842.0
2019-10-01,21039600.0,74288326.0,873781.0,1785166.0
2019-11-01,23036821.0,80495285.0,941224.0,1942087.0
2019-12-01,25075677.0,87962485.02,1002543.0,2140461.0
2020-01-01,2020647.0,8092565.0,91041.0,205484.0
2020-02-01,3972792.0,14910000.0,160562.0,
2020-03-01,4914582.0,23393000.0,261851.0,571141.0
2020-04-01,,31294799.0,324745.0,706462.0
2020-05-01,4932703.0,39506886.0,389487.0,846963.0
2020-06-01,4966136.0,47340173.0,471136.0,990401.0
2020-07-01,5206017.0,54724241.0,546246.0,1145562.0
2020-08-01,5490460.0,62497020.0,635486.0,1349400.0
2020-09-01,5753073.0,70472648.0,711232.0,1514314.0
2020-10-01,6157426.0,77335332.0,785297.0,1661390.0
2020-11-01,6532157.0,84695318.0,854143.0,1832378.0
2020-12-01,7155091.0,92511450.0,937993.0,1978575.0
2021-01-01,645387.0,7473687.0,83488.0,173620.0
2021-02-01,1065771.0,13677232.0,140281.0,290086.0
2021-03-01,1466634.0,22938149.0,233868.0,476772.0
2021-04-01,,30393274.0,314876.0,589023.0
2021-05-01,1808420.0,38512864.0,386686.0,769327.0
2021-06-01,2473988.0,46326729.0,466624.0,935402.0
2021-07-01,,53413822.0,537958.0,1114319.0
2021-08-01,5934695.9725,61019499.0,634918.0,1287302.0
2021-09-01,,68636704.0,722740.0,1407516.0
2021-10-01,8550750.0,75458508.0,839683.0,1557584.0
2021-11-01,9732216.0,83233143.0,919379.0,1720801.0
2021-12-01,9942343.0,91041172.0,991686.0,2121258.0
2022-01-01,126703.0,7600636.0,65469.0,206673.0
2022-02-01,925699.0,13744129.0,122548.0,360404.0
2022-03-01,2382748.0,21691710.0,250355.0,564556.0
2022-04-01,3788440.0,29562509.0,419265.0,820092.0
2022-05-01,5565496.0,37463854.0,617876.0,1155315.0
2022-06-01,7439275.0,45182741.0,759781.0,1400437.0
2022-07-01,9821737.0,52818104.0,902743.0,1659681.0
2022-08-01,12299218.0,60286914.0,1012566.0,1846441.0
2022-09-01,14356220.0,67145229.0,1110997.0,2178291.0
2022-10-01,16553642.0,74037576.0,1254451.0,2397881.0
2022-11-01,18474374.0,79998407.0,1311202.0,2544757.0
2022-12-01,20599410.0,87201779.0,1360589.0,2698251.0
2023-01-01,1988075.0,6618790.0,2115723.0,4258520.0
2023-02-01,3892616.0,284396.0,3770941.0,8267408.0
2023-03-01,6035569.0,19632024.0,,
2023-04-01,8067299.0,,,
2023-05-01,10421530.0,,,
2023-06-01,12667160.0,,,
2023-07-01,15308729.0,,,
2023-08-01,18053347.0,,,
2023-09-01,20285552.0,,,
2023-10-01,22628796.0,,,
2023-11-01,24749062.0,,,
2023-12-01,27091249.0,,,
2024-01-01,2291878.0,,,
2024-02-01,4558498.0,,,
2024-03-01,6873487.0,,,
2024-04-01,9531555.0,,,
2024-05-01,12359125.0,,,
2024-06-01,15104579.0,,,
2024-07-01,18163899.0,,,
2024-08-01,21418349.0,,,
2024-09-01,24285348.0,,,
2024-10-01,27231934.0,,,
2024-11-01,29880671.0,,,
2024-12-01,32710637.0,,,
2025-01-01,2731787.0,,,
2025-02-01,5476589.0,,,
2025-03-01,8019064.0,,,
2025-04-01,11246245.0,,,
2025-05-01,,,,
2025-06-01,,,,
2025-07-01,,,,
2025-08-01,23920571.0,,,
2025-09-01,26985011.0,,,
2025-10-01,30234044.0,,,
2025-11-01,33196881.0,,,
2025-12-01,36359003.0,,,
2026-01-01,3133378.0,,,
2026-02-01,5909802.0,,,
2026-03-01,8913041.0,,,
2026-04-01,12336962.0,,,
