,Crédit bancaire Transports et communications (MDH),Comptes débiteurs et crédits de trésorerie — Transports (MDH),Crédits à l'équipement — Transports (MDH)
1998-01-01,,,
1998-04-01,,,
1998-07-01,,,
1998-10-01,,,
1999-01-01,,,
1999-04-01,,,
1999-07-01,,,
1999-10-01,,,
2000-01-01,,,
2000-04-01,,,
2000-07-01,,,
2000-10-01,,,
2001-01-01,,,
2001-04-01,,,
2001-07-01,,,
2001-10-01,,,
2002-01-01,,,
2002-04-01,,,
2002-07-01,,,
2002-10-01,,,
2003-01-01,,,
2003-04-01,,,
2003-07-01,,,
2003-10-01,,,
2004-01-01,,,
2004-04-01,,,
2004-07-01,,,
2004-10-01,,,
2005-01-01,,,
2005-04-01,,,
2005-07-01,,,
2005-10-01,,,
2006-01-01,,,
2006-04-01,,,
2006-07-01,,,
2006-10-01,17645.3244,5199.0799,11675.0664
2007-01-01,18283.6202,4985.0959,12580.7516
2007-04-01,21878.8241,7674.3315,13255.3612
2007-07-01,21122.567,6307.4724,14068.4348
2007-10-01,21936.8128,6709.02,14496.9141
2008-01-01,21502.0834,6410.7943,14369.8142
2008-04-01,26550.2789,11601.1044,13881.151
2008-07-01,24801.5969,9054.8135,14599.5508
2008-10-01,23700.6178,6999.1904,15766.9731
2009-01-01,23686.575,7357.1863,15197.8014
2009-04-01,23940.1249,7142.6047,15708.2777
2009-07-01,24267.1659,6191.4949,16915.891
2009-10-01,23933.0895,5779.0856,17008.9732
2010-01-01,23880.1313,4735.0672,17974.1884
2010-04-01,24399.9946,7842.1617,15345.1633
2010-07-01,26378.8414,7314.4381,18309.559
2010-10-01,24689.0518,5857.0048,18012.7667
2011-01-01,25640.7948,5721.1685,18673.8434
2011-04-01,30639.4932,11160.1236,18057.4319
2011-07-01,29274.2584,9498.2697,18356.1066
2011-10-01,28290.3809,9276.8153,17596.6179
2012-01-01,27277.2622,8013.4561,17098.4399
2012-04-01,32056.2679,12485.4287,16978.6956
2012-07-01,31418.3432,12612.3257,16007.5506
2012-10-01,28901.0257,10674.7879,15441.3542
2013-01-01,26008.8897,8471.9008,14775.59
2013-04-01,29389.861,12485.0694,13986.4424
2013-07-01,28358.545,11933.6849,12926.1221
2013-10-01,28459.9325,12504.0248,12166.5769
2014-01-01,25976.3683,10983.4881,11413.8036
2014-04-01,28719.2181,13664.3753,11698.7987
2014-07-01,28408.4287,13121.8441,11852.4985
2014-10-01,28587.7434,11864.8527,13289.3923
2015-01-01,27639.5186,11461.3457,12375.1352
2015-04-01,33693.4908,18241.0522,11629.2801
2015-07-01,34429.2381,17866.8372,11609.6159
2015-10-01,32994.6159,15261.8403,13040.1402
2016-01-01,31230.2382,14057.262,12648.9905
2016-04-01,36864.6115,19923.7677,12479.0834
2016-07-01,35018.9651,17785.8691,12306.0985
2016-10-01,33267.6707,16793.5607,11105.2687
2017-01-01,32805.0651,16676.0742,10752.0275
2017-04-01,40587.2006,21397.0077,13759.9902
2017-07-01,38739.8645,15649.7939,18761.2152
2017-10-01,38042.7159,14932.5991,19187.2591
2018-01-01,36075.3599,13188.7123,19220.1209
2018-04-01,40737.6278,17729.2901,19323.9228
2018-07-01,40548.8797,15142.0709,21620.5195
2018-10-01,36279.3662,14019.649,18772.876
2019-01-01,37564.2525,13303.5333,20590.3369
2019-04-01,41917.2395,17982.7091,20534.5446
2019-07-01,41788.1842,17684.4064,20609.2758
2019-10-01,39842.507,15819.0925,19869.3696
2020-01-01,39491.1733,16318.6794,19741.1345
2020-04-01,40272.3005,18010.4624,19181.6059
2020-07-01,43281.2724,20721.1831,19462.0376
2020-10-01,40392.4409,17999.2119,19560.9753
2021-01-01,42070.8213,20062.4466,18811.9452
2021-04-01,40101.933,18774.054,18121.8555
2021-07-01,45255.4597,19263.5525,17725.4547
2021-10-01,41064.3968,17645.7324,15730.6308
2022-01-01,34593.7853,14706.197,17190.6451
2022-04-01,36494.4805,16338.1899,17332.2648
2022-07-01,40389.2245,20992.0621,16676.272
2022-10-01,39929.606,20006.6857,17142.0395
2023-01-01,38916.2499,20123.7816,15923.0738
2023-04-01,41658.118,22318.2021,16354.7694
2023-07-01,41109.5096,21624.1962,16503.3238
2023-10-01,40875.2001,21314.0459,16532.2457
2024-01-01,39196.8571,19896.6968,16230.0108
2024-04-01,36497.4641,16473.7498,17052.7693
2024-07-01,44492.3355,25018.211,16356.7899
2024-10-01,41870.0577,23329.8625,15418.4918
2025-01-01,39609.2262,21421.2025,15142.5698
2025-04-01,36549.2449,18698.6403,14757.7503
2025-07-01,35306.7073,17623.9941,14656.8593
2025-10-01,36535.8912,13244.7462,20199.5882
2026-01-01,30932.9304,14579.5016,13354.2388
