,VA Administration publique  (MDH)
1998Q1,9568.826843906769
1998Q2,11977.88799252956
1998Q3,13349.64485760335
1998Q4,13457.26276393325
1999Q1,9695.713423095121
1999Q2,12136.71971328967
1999Q3,13526.66663853769
1999Q4,13635.71160256404
2000Q1,12755.51805539959
2000Q2,12256.25558434883
2000Q3,12033.9469942188
2000Q4,12087.46947704472
2001Q1,12418.49738051465
2001Q2,12756.80762321484
2001Q3,12896.39531575533
2001Q4,12961.31985827038
2002Q1,12934.50702548483
2002Q2,12880.33869880414
2002Q3,12899.05421393822
2002Q4,12987.69289103793
2003Q1,13037.4217212297
2003Q2,13257.31468505672
2003Q3,13416.85110278818
2003Q4,13512.03310857005
2004Q1,13657.60907247092
2004Q2,13896.98673761042
2004Q3,13989.60931343484
2004Q4,14172.05483862522
2005Q1,14329.26782791487
2005Q2,14475.72190802314
2005Q3,14732.80030579856
2005Q4,14859.17216749754
2006Q1,14941.38895925579
2006Q2,14993.45227392932
2006Q3,15103.95581054574
2006Q4,15152.10736497304
2007Q1,15077.63721780222
2007Q2,15270.68817974946
2007Q3,15466.05758708803
2007Q4,15483.31723725396
2008Q1,15983.64477774797
2008Q2,16175.48558693388
2008Q3,16441.83514605951
2008Q4,16656.14396969637
2009Q1,17952.3930502038
2009Q2,18199.3836732646
2009Q3,18336.34287841718
2009Q4,18225.2060493883
2010Q1,17994.28049610022
2010Q2,18093.11916488349
2010Q3,18411.47228450764
2010Q4,18777.20113808518
2011Q1,19427.95988365398
2011Q2,19876.30015101086
2011Q3,20451.8761603581
2011Q4,20808.10209112893
2012Q1,20697.60384003302
2012Q2,20825.88782163915
2012Q3,21388.1672130433
2012Q4,21792.18817593464
2013Q1,21847.01791976048
2013Q2,22037.44300287526
2013Q3,21925.53998665274
2013Q4,22040.74159334473
2014Q1,22259.183015
2014Q2,22438.901145
2014Q3,22625.609065
2014Q4,22819.306775
2015Q1,23019.994275
2015Q2,23227.671565
2015Q3,23442.338645
2015Q4,23663.995515
2016Q1,23906.2350296875
2016Q2,24136.4343378125
2016Q3,24368.1862940625
2016Q4,24601.4908984375
2017Q1,24832.6367415625
2017Q2,25070.5312059375
2017Q3,25311.4628821875
2017Q4,25555.4317703125
2018Q1,25692.5513140625
2018Q2,25986.5492484375
2018Q3,26327.5390171875
2018Q4,26715.5206203125
2019Q1,27309.2316164062
2019Q2,27727.7018648437
2019Q3,28129.6689242187
2019Q4,28515.1327945312
2020Q1,28838.2881671875
2020Q2,29209.0677828125
2020Q3,29581.6663328125
2020Q4,29956.0838171875
2021Q1,30330.157040625
2021Q2,30709.077671875
2021Q3,31090.682515625
2021Q4,31474.971571875
2022Q1,32004.85806284539
2022Q2,32337.35025342528
2022Q3,32615.36136588756
2022Q4,32838.89140023223
2023Q1,32764.92059145013
2023Q2,32976.69638056341
2023Q3,33231.19900249944
2023Q4,33528.4284572582
2024Q1,34442.81603932356
2024Q2,34831.98973085742
2024Q3,35264.61493193162
2024Q4,35740.69164254619
2025Q1,35582.92442156413
2025Q2,35814.11148796024
2025Q3,36258.93497646876
2025Q4,37379.61054457409
2026Q1,36757.16092747574
