,VA Autres services (MDH)
1998Q1,2687.5619040625
1998Q2,2699.2484309375
1998Q3,2702.5192159375
1998Q4,2697.3742590625
1999Q1,2648.0499353125
1999Q2,2640.3789446875
1999Q3,2638.5976621875
1999Q4,2642.7060878125
2000Q1,2661.94394929687
2000Q2,2674.13590007812
2000Q3,2688.52166789062
2000Q4,2705.10125273437
2001Q1,2727.00020734375
2001Q2,2746.71720515625
2001Q3,2767.37779890625
2001Q4,2788.98198859375
2002Q1,2808.16796992187
2002Q2,2833.00407320312
2002Q3,2860.12849414062
2002Q4,2889.54123273437
2003Q1,2910.38969953125
2003Q2,2948.72010921875
2003Q3,2993.67987234375
2003Q4,3045.26898890625
2004Q1,3168.39972765625
2004Q2,3207.28264359375
2004Q3,3226.83000546875
2004Q4,3227.04181328125
2005Q1,3136.56734476562
2005Q2,3126.64833335937
2005Q3,3125.93405679687
2005Q4,3134.42451507812
2006Q1,3163.48844179687
2006Q2,3185.84087632812
2006Q3,3212.85055226562
2006Q4,3244.51746960937
2007Q1,3290.56143460937
2007Q2,3327.65491226562
2007Q3,3365.51770882812
2007Q4,3404.14982429687
2008Q1,3462.002029375
2008Q2,3494.792474375
2008Q3,3520.97193
2008Q4,3540.54039625
2009Q1,3532.517804375
2009Q2,3547.256319375
2009Q3,3563.7758725
2009Q4,3582.07646374999
2010Q1,3606.50206109375
2010Q2,3626.62714140625
2010Q3,3646.79567265625
2010Q4,3667.00765484375
2011Q1,3684.17034460937
2011Q2,3705.70632601562
2011Q3,3728.52285570312
2011Q4,3752.61993367187
2012Q1,3782.34539351562
2012Q2,3807.26443460937
2012Q3,3831.72489054687
2012Q4,3855.72676132812
2013Q1,3888.25821765625
2013Q2,3907.74764984375
2013Q3,3923.18322859375
2013Q4,3934.56495390625
2014Q1,3935.20438679687
2014Q2,3937.36848382812
2014Q3,3943.83204851562
2014Q4,3954.59508085937
2015Q1,3969.65758085937
2015Q2,3989.01954851562
2015Q3,4012.68098382812
2015Q4,4040.64188679687
2016Q1,4091.46271171875
2016Q2,4120.59836828125
2016Q3,4146.60931078125
2016Q4,4169.49553921875
2017Q1,4184.01807820312
2017Q2,4202.75046867187
2017Q3,4220.45373523437
2017Q4,4237.12787789062
2018Q1,4258.83863765625
2018Q2,4271.02823609375
2018Q3,4279.76241421875
2018Q4,4285.04117203125
2019Q1,4434.45029234375
2019Q2,4373.78389640625
2019Q3,4250.62776703125
2019Q4,4064.98190421875
2020Q1,3479.87679234375
2020Q2,3304.03926890625
2020Q3,3200.49981828125
2020Q4,3169.25844046875
2021Q1,3382.2505878125
2021Q2,3426.8311746875
2021Q3,3474.9356534375
2021Q4,3526.5640240625
2022Q1,3613.445468677779
2022Q2,3659.429950402569
2022Q3,3696.246651344905
2022Q4,3723.895571504787
2023Q1,3699.558115038542
2023Q2,3725.998912075093
2023Q3,3760.39936676949
2023Q4,3802.759479121732
2024Q1,3850.022522110071
2024Q2,3908.255715509295
2024Q3,3974.442252006223
2024Q4,4048.582131600856
2025Q1,3972.649540571613
2025Q2,4032.737518674311
2025Q3,4085.409182041085
2025Q4,4123.449442816844
2026Q1,4020.321335058472
