,VA Construction (Mdh)
1998Q1,6752.486
1998Q2,6716.8492
1998Q3,6662.368
1998Q4,6559.6714
1999Q1,6574.8202
1999Q2,6634.7969
1999Q3,6801.9569
1999Q4,7055.2756
2000Q1,7187.3303
2000Q2,7211.4385
2000Q3,7320.8732
2000Q4,7483.9915
2001Q1,7911.3414
2001Q2,7901.4519
2001Q3,7803.6607
2001Q4,7955.2341
2002Q1,7866.7282
2002Q2,8025.4125
2002Q3,8138.4979
2002Q4,8046.4086
2003Q1,8224.4442
2003Q2,8571.813
2003Q3,8882.3528
2003Q4,8936.032
2004Q1,9178.9632
2004Q2,9286.4394
2004Q3,9299.462
2004Q4,9555.227
2005Q1,9591.2335
2005Q2,9789.9868
2005Q3,10030.0522
2005Q4,10230.1086
2006Q1,10252.6194
2006Q2,10372.7674
2006Q3,10747.1243
2006Q4,11109.2449
2007Q1,11263.0668
2007Q2,11428.3316
2007Q3,11686.8786
2007Q4,11999.5632
2008Q1,11953.1849
2008Q2,12112.6127
2008Q3,12273.311
2008Q4,12344.0257
2009Q1,12496.7859
2009Q2,12712.419
2009Q3,12809.572
2009Q4,12894.0194
2010Q1,12883.7793
2010Q2,13007.865
2010Q3,13036.9
2010Q4,13192.6894
2011Q1,13547.6048
2011Q2,13574.8754
2011Q3,13715.4069
2011Q4,13856.6268
2012Q1,13988.0604
2012Q2,13979.9834
2012Q3,13977.1364
2012Q4,14090.7521
2013Q1,14002.4091
2013Q2,14109.4573
2013Q3,14378.5569
2013Q4,14428.5014
2014Q1,14618.7456
2014Q2,14684.2718
2014Q3,14675.2432
2014Q4,14427.7394
2015Q1,14351.3184
2015Q2,14655.5614
2015Q3,14825.4353
2015Q4,15308.6856
2016Q1,15599.0399
2016Q2,15520.8942
2016Q3,15433.8226
2016Q4,15352.7943
2017Q1,15556.8737
2017Q2,15570.4123
2017Q3,15852.2068
2017Q4,15728.3734
2018Q1,16147.0987
2018Q2,16266.3576
2018Q3,15955.956
2018Q4,15140.9955
2019Q1,15395.2959
2019Q2,16155.4133
2019Q3,16360.0501
2019Q4,15919.4178
2020Q1,15922.7791
2020Q2,14367.6168
2020Q3,14888.5514
2020Q4,16010.4238
2021Q1,15931.4976
2021Q2,15891.6512
2021Q3,16062.7267
2021Q4,16187.2432
2022Q1,15758.1139
2022Q2,15698.123
2022Q3,15219.3064
2022Q4,15009.4848
2023Q1,15411.3128
2023Q2,15450.2726
2023Q3,15488.7957
2023Q4,15564.2591
2024Q1,15948.373
2024Q2,16159.4331
2024Q3,16708.2894
2024Q4,16806.8355
2025Q1,17085.2654
2025Q2,17383.8917
2025Q3,17788.8622
2025Q4,17782.1633
2026Q1,17341.5444
