,Crédit bancaire Bâtiment et travaux publics (MDH),Comptes débiteurs et crédits de trésorerie — Construction (MDH),Crédits à l'équipement — Construction (MDH)
1998-01-01,,,
1998-04-01,,,
1998-07-01,,,
1998-10-01,,,
1999-01-01,,,
1999-04-01,,,
1999-07-01,,,
1999-10-01,,,
2000-01-01,,,
2000-04-01,,,
2000-07-01,,,
2000-10-01,,,
2001-01-01,,,
2001-04-01,,,
2001-07-01,,,
2001-10-01,,,
2002-01-01,,,
2002-04-01,,,
2002-07-01,,,
2002-10-01,,,
2003-01-01,,,
2003-04-01,,,
2003-07-01,,,
2003-10-01,,,
2004-01-01,,,
2004-04-01,,,
2004-07-01,,,
2004-10-01,,,
2005-01-01,,,
2005-04-01,,,
2005-07-01,,,
2005-10-01,,,
2006-01-01,,,
2006-04-01,,,
2006-07-01,,,
2006-10-01,23721.8687,9842.4785,2599.3611
2007-01-01,26237.8408,10072.6196,2796.4114
2007-04-01,30274.0368,10965.0938,3079.429
2007-07-01,32496.0265,10442.8812,3455.3275
2007-10-01,42848.7962,12556.7592,3376.0496
2008-01-01,45986.9918,11334.0949,5058.6289
2008-04-01,52071.1224,12685.6046,5124.4539
2008-07-01,50564.4731,12260.7742,3409.5057
2008-10-01,56768.6472,11420.5103,4214.6244
2009-01-01,59011.4306,7072.7912,3569.8511
2009-04-01,62614.9891,12282.6167,4275.1633
2009-07-01,75445.2687,14472.2613,4633.5916
2009-10-01,80850.2133,13627.5543,6460.9991
2010-01-01,78831.6615,13651.2263,7199.7028
2010-04-01,86774.7149,15663.2456,9668.6865
2010-07-01,84796.5607,12365.6977,7287.9815
2010-10-01,79441.9948,11147.5593,7265.8228
2011-01-01,84355.9654,12906.8764,6496.4718
2011-04-01,90096.5268,12449.8191,6985.7976
2011-07-01,92715.5649,12398.4869,6083.8433
2011-10-01,95840.101,12877.0293,9446.8089
2012-01-01,92716.5513,12841.3014,8556.4666
2012-04-01,96736.4979,14150.9289,9372.1236
2012-07-01,92376.4116,12844.984,8770.5294
2012-10-01,93656.5517,13304.8219,9091.1093
2013-01-01,95272.8205,15266.4795,8465.4526
2013-04-01,93384.8092,14751.9577,6866.2676
2013-07-01,97297.2115,16893.7562,7765.2787
2013-10-01,93791.6348,13193.183,9131.5012
2014-01-01,93384.6882,14825.4087,9110.5292
2014-04-01,96232.8066,14654.5026,9200.207
2014-07-01,93087.6093,13580.765,8793.1117
2014-10-01,93333.149,14089.6996,8853.0044
2015-01-01,92456.9078,13248.4572,7431.4067
2015-04-01,91134.4587,13544.2639,6929.7961
2015-07-01,92254.3126,14553.4434,7798.3158
2015-10-01,88483.3405,15196.1231,7053.1277
2016-01-01,88094.9682,15977.6473,7364.1658
2016-04-01,90346.8146,16478.6815,7107.4346
2016-07-01,91676.8782,16064.6669,8366.7996
2016-10-01,91725.3207,20947.3941,7044.7621
2017-01-01,90249.6377,16269.2423,8199.7739
2017-04-01,93807.6558,18694.0827,8457.2067
2017-07-01,92005.707,17943.767,8349.0311
2017-10-01,93728.7703,16276.6124,10202.3769
2018-01-01,95294.8713,15566.4721,10998.8259
2018-04-01,96201.7904,16585.0879,10602.6958
2018-07-01,97239.9288,16925.7306,10724.2947
2018-10-01,94893.9055,16659.6869,10751.6433
2019-01-01,94370.8811,15558.0758,11239.1256
2019-04-01,95743.957,17688.506,11664.0063
2019-07-01,95912.6259,17882.7659,11477.7116
2019-10-01,96144.1989,16573.7329,12509.5592
2020-01-01,78647.7241,16814.9699,11856.0623
2020-04-01,80794.617,18478.0756,11894.3629
2020-07-01,81224.1721,20397.6105,10231.472
2020-10-01,80064.2184,21135.2584,9846.4907
2021-01-01,79384.2351,21982.5263,10138.3322
2021-04-01,80346.4435,23175.8531,10160.0204
2021-07-01,79041.8531,23318.3064,10446.5437
2021-10-01,78989.4991,22552.1336,10101.5372
2022-01-01,80283.5072,22903.7749,10514.871
2022-04-01,79877.4182,23473.2133,9648.2221
2022-07-01,78541.4017,22999.51,9623.1472
2022-10-01,90972.9932,23165.5754,11783.0867
2023-01-01,90616.3375,22666.2261,11628.6872
2023-04-01,93303.4996,22480.623,12484.7669
2023-07-01,90402.092,21396.7601,11906.0744
2023-10-01,92439.536,20545.6159,13988.4852
2024-01-01,94655.0981,18941.8175,14523.6784
2024-04-01,96416.8778,19645.3733,15110.6647
2024-07-01,96098.6848,18516.7244,14847.5018
2024-10-01,96132.8842,16825.4384,16106.3687
2025-01-01,96607.5006,15975.072,17017.2156
2025-04-01,103740.5158,18439.2421,18628.1845
2025-07-01,100717.7254,17533.4261,19193.6204
2025-10-01,104818.2744,17095.1213,20221.846
2026-01-01,107443.7191,17837.417,20925.8197
