,VA Éducation-santé(MDH)
1998Q1,9545.82761718191
1998Q2,9797.332135511086
1998Q3,9921.914954411914
1998Q4,10117.95355335717
1999Q1,10288.46980718727
1999Q2,10434.31333165486
1999Q3,10658.01149055208
1999Q4,10756.85063743763
2000Q1,10736.9538266918
2000Q2,10871.86867329079
2000Q3,11166.16887167825
2000Q4,11411.17627982123
2001Q1,11967.67485923666
2001Q2,12165.16511448931
2001Q3,12382.06512787059
2001Q4,12397.65049645108
2002Q1,12024.01728340661
2002Q2,12137.43434972129
2002Q3,12217.34348005712
2002Q4,12260.321492511
2003Q1,12651.63199409488
2003Q2,12828.75914183579
2003Q3,12856.38383667599
2003Q4,12954.39452124769
2004Q1,12830.92865852679
2004Q2,12929.71381872429
2004Q3,13063.76433769854
2004Q4,13231.9725401244
2005Q1,13622.99113539257
2005Q2,13779.23939883587
2005Q3,14003.92413710833
2005Q4,14077.1037771322
2006Q1,14061.90382411156
2006Q2,14241.99855676426
2006Q3,14457.56676122581
2006Q4,14708.60256586305
2007Q1,15057.48531751319
2007Q2,15207.08546406027
2007Q3,15213.32879664689
2007Q4,15294.00286025184
2008Q1,15578.47848569829
2008Q2,15625.63513382039
2008Q3,15715.69230284569
2008Q4,15768.72561903723
2009Q1,15752.30503323824
2009Q2,15814.53635806044
2009Q3,15967.33077330891
2009Q4,16154.0216252035
2010Q1,16407.70111839412
2010Q2,16567.64850616501
2010Q3,16717.63464110803
2010Q4,16826.8719699241
2011Q1,16766.70790563078
2011Q2,16873.53404262454
2011Q3,16943.37912154548
2011Q4,16967.58268227835
2012Q1,17574.77219716955
2012Q2,17872.06824369903
2012Q3,18269.7308546024
2012Q4,18601.71669307699
2013Q1,18729.8958718568
2013Q2,18928.00489002264
2013Q3,19073.08425549377
2013Q4,19197.13775126088
2014Q1,19208.3758947656
2014Q2,19235.1608421093
2014Q3,19264.8924736718
2014Q4,19297.5707894531
2015Q1,19333.1957894531
2015Q2,19371.7674736718
2015Q3,19413.2858421093
2015Q4,19457.7508947656
2016Q1,19507.8832703125
2016Q2,19557.1534359375
2016Q3,19608.2820303125
2016Q4,19661.2690534375
2017Q1,19626.8338982812
2017Q2,19719.2500217187
2017Q3,19849.2368167187
2017Q4,20016.7942832812
2018Q1,20378.5534885937
2018Q2,20558.5998714062
2018Q3,20713.5644989062
2018Q4,20843.4473710937
2019Q1,20923.246466875
2019Q2,21012.966636875
2019Q3,21087.60586
2019Q4,21147.1641362499
2020Q1,21062.5452332031
2020Q2,21143.5801086718
2020Q3,21261.1725302343
2020Q4,21415.3224978906
2021Q1,21592.6699823437
2021Q2,21825.2790539062
2021Q3,22099.7896832812
2021Q4,22416.2018704687
2022Q1,22933.8553621401
2022Q2,23270.33476587565
2022Q3,23584.97982836214
2022Q4,23877.79054959956
2023Q1,24010.61465825471
2023Q2,24315.01760590968
2023Q3,24652.84712122071
2023Q4,25024.10320418779
2024Q1,25450.79931361688
2024Q2,25889.28779889251
2024Q3,26361.23178888687
2024Q4,26866.63128360006
2025Q1,27193.76893805473
2025Q2,27532.05006325468
2025Q3,28033.94048451737
2025Q4,28787.6545671625
2026Q1,28906.97638115217
