,"Crédit bancaire Électricité, gaz et eau (MDH)","Comptes débiteurs et crédits de trésorerie — Électricité, gaz, eau (MDH)","Crédits à l'équipement — Électricité, gaz, eau (MDH)"
1998-01-01,,,
1998-04-01,,,
1998-07-01,,,
1998-10-01,,,
1999-01-01,,,
1999-04-01,,,
1999-07-01,,,
1999-10-01,,,
2000-01-01,,,
2000-04-01,,,
2000-07-01,,,
2000-10-01,,,
2001-01-01,,,
2001-04-01,,,
2001-07-01,,,
2001-10-01,,,
2002-01-01,,,
2002-04-01,,,
2002-07-01,,,
2002-10-01,,,
2003-01-01,,,
2003-04-01,,,
2003-07-01,,,
2003-10-01,,,
2004-01-01,,,
2004-04-01,,,
2004-07-01,,,
2004-10-01,,,
2005-01-01,,,
2005-04-01,,,
2005-07-01,,,
2005-10-01,,,
2006-01-01,,,
2006-04-01,,,
2006-07-01,,,
2006-10-01,10726.8382,5455.6461,4848.4432
2007-01-01,10867.0959,5637.7218,5086.926
2007-04-01,11644.2799,6237.7245,5125.7963
2007-07-01,14332.2137,8899.0815,5104.0464
2007-10-01,15780.6919,8464.0083,6996.5456
2008-01-01,16608.5696,8568.5954,7774.0479
2008-04-01,16749.1434,8589.755,7837.1281
2008-07-01,16791.7324,8760.9017,7684.0197
2008-10-01,17114.9292,9382.1456,7524.9892
2009-01-01,17561.8148,10256.1914,7122.359
2009-04-01,18241.3861,8419.7142,9683.8947
2009-07-01,17569.531,7847.0963,9578.4483
2009-10-01,16665.7559,6762.8059,9830.0918
2010-01-01,19874.5422,8454.9088,11356.15
2010-04-01,23826.0952,9878.9819,13856.868
2010-07-01,25315.6787,10097.2795,14821.7227
2010-10-01,24388.3583,9403.6636,14725.9766
2011-01-01,27902.8913,12282.9877,15500.2077
2011-04-01,29799.6424,12969.9323,15949.9002
2011-07-01,30294.4036,13729.921,16042.3334
2011-10-01,31246.9148,13728.1975,16093.0913
2012-01-01,32955.1018,14692.0769,17315.2709
2012-04-01,34248.5457,14436.4505,18050.4405
2012-07-01,35979.0635,16249.0689,18969.8409
2012-10-01,34971.8067,14473.6442,19089.9467
2013-01-01,36633.6203,14860.6601,21265.9039
2013-04-01,36519.8983,12367.6454,22021.5068
2013-07-01,35992.9757,12817.6598,22236.5146
2013-10-01,35753.9023,10051.6391,23810.8821
2014-01-01,38013.0878,12024.47,24971.1831
2014-04-01,43535.3261,15782.6223,25777.3216
2014-07-01,41991.3498,14678.6162,26375.5727
2014-10-01,46972.4073,14859.5389,31337.7213
2015-01-01,47354.4192,14175.2355,32249.3801
2015-04-01,48876.7926,15752.7504,32341.0825
2015-07-01,49082.2525,15921.2337,32256.6153
2015-10-01,49427.9362,14119.6101,33515.2984
2016-01-01,50372.7015,14683.7319,33924.9489
2016-04-01,50505.1026,14097.0541,34473.8282
2016-07-01,49356.9168,12683.9969,34653.3917
2016-10-01,50468.6564,13881.548,35371.0931
2017-01-01,49754.0465,12638.8738,35364.4594
2017-04-01,52484.4556,14185.4701,36171.0462
2017-07-01,51137.6163,13382.8444,36353.3831
2017-10-01,46718.991,9402.9941,36396.7948
2018-01-01,47714.199,10402.6061,36254.8093
2018-04-01,49017.4213,11307.7808,36825.8622
2018-07-01,47363.9517,10930.2067,35554.2485
2018-10-01,43913.2987,9229.6675,33925.1627
2019-01-01,40696.7171,7558.6817,32377.5671
2019-04-01,42648.9846,9505.5686,32380.2178
2019-07-01,40620.829,9211.7442,30683.9066
2019-10-01,42485.0045,9610.7834,32162.7139
2020-01-01,40981.6571,9343.8062,30923.4009
2020-04-01,42942.8013,11751.097,29362.3737
2020-07-01,38000.81,8026.8605,28036.0459
2020-10-01,35222.9079,6440.8512,26994.7053
2021-01-01,35303.8482,6533.4113,26946.0794
2021-04-01,36718.4496,7922.4997,26927.2675
2021-07-01,38568.8041,8740.9726,28029.003
2021-10-01,39760.2335,9704.4937,28018.4368
2022-01-01,40760.0381,10694.7394,27998.8141
2022-04-01,47183.1917,16075.4644,28746.2127
2022-07-01,51482.1993,20022.9807,29046.015
2022-10-01,54764.2693,22197.2929,29237.5662
2023-01-01,51732.6142,18167.5807,30241.5235
2023-04-01,56124.4313,23767.1306,29637.7367
2023-07-01,60429.2603,20430.1527,30269.643
2023-10-01,68210.9092,25686.4353,31483.9408
2024-01-01,65684.6552,24794.842,30936.0437
2024-04-01,64973.7413,25438.1394,29808.3909
2024-07-01,68232.7293,28656.4763,29392.7019
2024-10-01,72648.9608,32266.4162,29563.3232
2025-01-01,74494.4531,32732.5169,32391.8137
2025-04-01,74002.8843,31428.0179,32076.9698
2025-07-01,73051.8184,30802.4578,32628.2565
2025-10-01,79099.3434,32597.4642,38338.1485
2026-01-01,76843.3814,33964.1067,34925.9389
