,VA Finances assurances (Mdh)
1998Q1,4964.0823
1998Q2,4831.6204
1998Q3,4750.5106
1998Q4,4710.269
1999Q1,4706.8894
1999Q2,4701.5326
1999Q3,4714.0221
1999Q4,4780.7021
2000Q1,4818.6593
2000Q2,4877.0458
2000Q3,4931.3491
2000Q4,4996.4035
2001Q1,5095.1507
2001Q2,5105.4397
2001Q3,5071.1571
2001Q4,5074.7875
2002Q1,5039.3416
2002Q2,4996.7597
2002Q3,5165.893
2002Q4,5155.4534
2003Q1,5304.0349
2003Q2,5347.655
2003Q3,5375.6515
2003Q4,5461.9559
2004Q1,5489.5651
2004Q2,5541.983
2004Q3,5635.781
2004Q4,5746.3932
2005Q1,5980.9846
2005Q2,6250.2718
2005Q3,6517.4663
2005Q4,6428.1606
2006Q1,6377.5565
2006Q2,6518.0618
2006Q3,6759.2584
2006Q4,7070.0441
2007Q1,7674.8794
2007Q2,7937.8548
2007Q3,8197.3072
2007Q4,8429.9687
2008Q1,8247.4986
2008Q2,8228.6575
2008Q3,8303.6459
2008Q4,8518.9551
2009Q1,8318.071
2009Q2,8438.413
2009Q3,8661.3957
2009Q4,8810.0624
2010Q1,9292.8836
2010Q2,9507.9408
2010Q3,9791.2026
2010Q4,9674.0237
2011Q1,9929.2583
2011Q2,10300.8468
2011Q3,10501.4444
2011Q4,10695.6687
2012Q1,10628.5311
2012Q2,10817.8418
2012Q3,10854.5169
2012Q4,10877.5459
2013Q1,10608.1538
2013Q2,10776.9472
2013Q3,10918.8419
2013Q4,11006.9365
2014Q1,10934.8198
2014Q2,11042.3996
2014Q3,11163.0776
2014Q4,11254.703
2015Q1,11283.6957
2015Q2,11280.4862
2015Q3,11343.2793
2015Q4,11591.5469
2016Q1,11727.4739
2016Q2,11883.8614
2016Q3,12376.6381
2016Q4,12251.362
2017Q1,12319.3194
2017Q2,12613.7411
2017Q3,12594.5351
2017Q4,12548.7753
2018Q1,12712.6978
2018Q2,12657.4505
2018Q3,12750.9104
2018Q4,12892.5035
2019Q1,13305.5691
2019Q2,13311.4265
2019Q3,13486.3953
2019Q4,13598.1904
2020Q1,13312.7559
2020Q2,13464.215
2020Q3,13555.9367
2020Q4,13711.9673
2021Q1,13610.9875
2021Q2,13999.6883
2021Q3,14081.9134
2021Q4,14318.2334
2022Q1,14923.8344
2022Q2,15400.0218
2022Q3,15589.3799
2022Q4,15717.6353
2023Q1,15998.4424
2023Q2,16227.7395
2023Q3,16454.2248
2023Q4,16795.171
2024Q1,17380.0103
2024Q2,17498.1514
2024Q3,18045.4651
2024Q4,18491.2854
2025Q1,18385.0406
2025Q2,18371.3616
2025Q3,19088.9766
2025Q4,19523.9469
2026Q1,19782.3037
