,Crédit bancaire,    Crédits à la consommation,Comptes débiteurs et crédits de trésorerie,Crédits à l'équipement,Créances diverses sur la clientèle,Crédits à caractére financier(2),Autres crédits(3),Créances en souffrance,Secteur public hors AC,Administrations locales,Sociétés non financières publiques,Secteur privé,Sociétés non financières privées,Autres secteurs résidents,Particuliers et Marocains Résidant à l'Etranger,Entrepreneurs individuels,ISBLSM,Autres sociétés financières,Sociétés de financement,Etablissements de crédit assimilés(1),OPCVM autres que monétaires,Autres(2),Dépôts à vue auprés des banques,Masse monétaire (M3),Avoirs officiels de réserve
2001-12-01,,,72040.6138,45297.977,13935.6142,12010.274,1925.3332,34344.0864,6679.0866,4476.85,2202.2366,184880.343,125254.738,59625.605,47327.6916,12111.8457,186.0677,13313.7106,11129.6358,214.0653,828.1032,1141.9063,,,
2002-01-01,,,70977.9208,44952.7541,13649.3534,12057.254,1592.0924,34305.9989,6196.9626,4470.717,1726.2456,184133.9417,113695.4837,70438.458,45884.68,24399.1471,154.6309,13370.6875,11027.8835,200.8264,756.2071,1385.7704,,,
2002-02-01,,,71378.6995,44563.0321,14918.3781,12196.779,2721.5931,34482.0822,6174.0612,4468.674,1705.3872,185553.527,109271.5564,76281.9706,46099.6694,30014.4987,167.8025,13843.1589,11588.4862,7.5271,927.122,1320.0234,,,
2002-03-01,,,67615.1582,45255.3736,15955.7581,13371.134,2584.6251,33330.8285,5372.08,4465.394,906.686,182861.2546,110828.8675,72032.3871,46399.4165,25456.5212,176.4494,14701.9888,12907.1596,87.5223,505.4491,1201.8578,,,
2002-04-01,,,67375.4412,45478.7416,16361.8852,14228.631,2133.2542,34294.5602,5476.4778,4462.114,1014.3638,183055.0109,110261.1233,72793.8875,46407.3165,26213.2951,173.2759,15472.281,13607.0491,168.6976,486.7876,1209.7467,,,
2002-05-01,,,66137.6318,44319.7918,17542.7864,14938.346,2604.4404,35270.8702,6066.4444,4490.299,1576.1454,182155.7815,110122.2925,72033.489,46990.7118,24896.6496,146.1276,16378.0951,14361.1213,463.0805,302.1476,1251.7458,,,
2002-06-01,,,69526.6578,43638.6611,18006.2876,14775.957,3230.3306,36598.8145,7650.3546,4497.023,3153.3316,184480.708,111757.5119,72723.196,47537.4064,25036.425,149.3647,16236.7908,14207.1983,218.3032,425.7151,1385.5742,,,
2002-07-01,,,71764.9803,42769.6427,16896.5118,13852.059,3044.4528,37295.4368,7783.8078,4486.516,3297.2918,186257.8383,112977.1857,73280.6526,48374.5766,24720.9324,185.1437,15489.6028,13680.0303,181.6058,459.2337,1168.733,,,
2002-08-01,,,71174.0232,42928.9634,17386.0412,14191.612,3194.4292,37353.3575,7658.3305,4520.048,3138.2825,186707.6181,113494.836,73212.7821,49225.3696,23822.9075,164.505,15613.0607,14197.2597,34.1285,212.0623,1169.6102,,,
2002-09-01,,,70795.915,41738.5912,17468.5818,14431.975,3036.6068,37881.194,7561.4598,4607.961,2953.4988,186177.0444,113026.3595,73150.6849,49232.7431,23749.4559,168.4859,15833.0907,14180.4477,90.9589,374.6475,1187.0367,,,
2002-10-01,,,70332.9752,41838.9929,17779.1814,14799.864,2979.3164,38120.4173,7170.8241,4611.076,2559.7481,186776.4655,112876.4501,73900.0154,49777.4678,23996.594,125.9536,16108.008,14316.3561,167.146,443.6874,1180.8195,,,
2002-11-01,,,71708.1451,41650.6705,18150.008,15273.418,2876.59,38064.845,7281.5219,4596.974,2684.5479,186876.7716,112339.0082,74537.7635,50490.535,23916.7259,130.5026,17661.4256,15064.8433,33.0306,1335.1642,1228.3875,,,
2002-12-01,,,69172.7042,42113.7645,19524.8146,16316.622,3208.1926,37791.7265,6870.5679,4750.601,2119.9669,186459.5018,111597.8244,74861.6774,50957.1701,23764.8126,139.6947,17761.9155,15267.4189,41.9772,1264.9717,1187.5477,,,
2003-01-01,,,69738.0087,41259.6231,20170.8639,16688.069,3482.7949,38001.4014,6076.8598,4363.736,1713.1238,187431.9432,111447.8265,75984.1167,51989.533,23919.1816,75.4021,18525.1935,14712.9932,298.2514,1937.8426,1576.1062,,,
