,VA Hebergement restauration (Mdh)
1998Q1,5217.2042
1998Q2,5266.5169
1998Q3,5344.1746
1998Q4,5534.1866
1999Q1,5476.4667
1999Q2,5633.7689
1999Q3,5784.0719
1999Q4,5799.7169
2000Q1,5913.0423
2000Q2,5968.3179
2000Q3,5887.7825
2000Q4,5878.708
2001Q1,6210.2984
2001Q2,5781.535
2001Q3,5597.9815
2001Q4,5977.3354
2002Q1,5806.1785
2002Q2,5925.8438
2002Q3,5951.3844
2002Q4,5928.6239
2003Q1,5607.0836
2003Q2,5835.8433
2003Q3,6054.1558
2003Q4,6015.0979
2004Q1,6375.8251
2004Q2,6178.4392
2004Q3,6446.3074
2004Q4,6633.7753
2005Q1,6826.6936
2005Q2,6770.6145
2005Q3,7066.2549
2005Q4,6957.8525
2006Q1,7026.1643
2006Q2,7517.8324
2006Q3,7140.6887
2006Q4,7406.9745
2007Q1,7485.3001
2007Q2,7463.4678
2007Q3,7475.3096
2007Q4,7506.723
2008Q1,7559.5876
2008Q2,7510.1645
2008Q3,7571.6532
2008Q4,7636.306
2009Q1,7479.5869
2009Q2,7564.0282
2009Q3,7583.8821
2009Q4,7760.8512
2010Q1,7961.3191
2010Q2,8176.074
2010Q3,8265.4447
2010Q4,8337.2229
2011Q1,8301.5361
2011Q2,7888.9714
2011Q3,8150.8571
2011Q4,8051.7287
2012Q1,8129.9334
2012Q2,8238.2634
2012Q3,8435.4478
2012Q4,8434.6638
2013Q1,8519.9501
2013Q2,8701.7613
2013Q3,8734.4541
2013Q4,8845.573
2014Q1,8902.1501
2014Q2,9432.8713
2014Q3,8529.0664
2014Q4,8690.9122
2015Q1,8802.6759
2015Q2,8937.5107
2015Q3,8591.3635
2015Q4,8743.4502
2016Q1,8801.9368
2016Q2,8728.8956
2016Q3,9232.1237
2016Q4,9414.8343
2017Q1,9680.2442
2017Q2,9953.2758
2017Q3,10056.2845
2017Q4,10247.3095
2018Q1,10504.9738
2018Q2,10662.1903
2018Q3,10450.6394
2018Q4,10801.9574
2019Q1,10918.3812
2019Q2,11367.2502
2019Q3,10610.6766
2019Q4,11039.3868
2020Q1,7941.5095
2020Q2,3370.5107
2020Q3,3927.0286
2020Q4,4725.0143
2021Q1,5266.9974
2021Q2,5441.1275
2021Q3,5961.0267
2021Q4,6369.3227
2022Q1,7565.2221
2022Q2,9108.8262
2022Q3,10824.0925
2022Q4,11206.4961
2023Q1,11606.4548
2023Q2,11942.5029
2023Q3,12100.7626
2023Q4,12155.8805
2024Q1,11848.3459
2024Q2,12916.4723
2024Q3,13438.1524
2024Q4,13608.6997
2025Q1,12878.0016
2025Q2,14141.332
2025Q3,14297.0713
2025Q4,14130.6466
2026Q1,13921.1197
