,IPAI Professionnel — prix (var. trim. %),IPAI Foncier — prix (var. trim. %),IPAI Bureau — prix (var. trim. %),IPAI Résidentiel — transactions (var. trim. %),IPAI Local commercial — transactions (var. trim. %),IPAI Local commercial — prix (var. trim. %),IPAI Professionnel — transactions (var. trim. %),IPAI Foncier — transactions (var. trim. %),IPAI Bureau — transactions (var. trim. %),"IPAI Global — prix (série 1998–2017, var. trim. %)"
1998-01-01,,,,,,,,,,
1998-04-01,,,,,,,,,,
1998-07-01,,,,,,,,,,
1998-10-01,,,,,,,,,,
1999-01-01,,,,,,,,,,
1999-04-01,,,,,,,,,,
1999-07-01,,,,,,,,,,
1999-10-01,,,,,,,,,,
2000-01-01,,,,,,,,,,
2000-04-01,,,,,,,,,,
2000-07-01,,,,,,,,,,
2000-10-01,,,,,,,,,,
2001-01-01,,,,,,,,,,
2001-04-01,,,,,,,,,,
2001-07-01,,,,,,,,,,
2001-10-01,,,,,,,,,,
2002-01-01,,,,,,,,,,
2002-04-01,,,,,,,,,,
2002-07-01,,,,,,,,,,
2002-10-01,,,,,,,,,,
2003-01-01,,,,,,,,,,
2003-04-01,,,,,,,,,,
2003-07-01,,,,,,,,,,
2003-10-01,,,,,,,,,,
2004-01-01,,,,,,,,,,
2004-04-01,,,,,,,,,,
2004-07-01,,,,,,,,,,
2004-10-01,,,,,,,,,,
2005-01-01,,,,,,,,,,
2005-04-01,,,,,,,,,,
2005-07-01,,,,,,,,,,
2005-10-01,,,,,,,,,,
2006-01-01,,,,,,,,,,
2006-04-01,,,,,,,,,,
2006-07-01,,,,,,,,,,
2006-10-01,,,,,,,,,,
2007-01-01,,,,,,,,,,
2007-04-01,,,,,,,,,,
2007-07-01,,,,,,,,,,
2007-10-01,,,,,,,,,,
2008-01-01,,,,,,,,,,
2008-04-01,,,,,,,,,,
2008-07-01,,,,,,,,,,
2008-10-01,,,,,,,,,,
2009-01-01,,,,,,,,,,
2009-04-01,,,,,,,,,,
2009-07-01,,,,,,,,,,
2009-10-01,,,,,,,,,,
2010-01-01,,,,,,,,,,1.4
2010-04-01,,,,,,,,,,
2010-07-01,,,,,,,,,,2.4
2010-10-01,,,,,,,,,,
2011-01-01,,,,,,,,,,
2011-04-01,,,,,,,,,,
2011-07-01,,,,,,,,,,1.1
2011-10-01,,,,,,,,,,-0.4
2012-01-01,,,,,,,,,,0.6
2012-04-01,,,,,,,,,,0.8
2012-07-01,,,,,,,,,,-0.7
2012-10-01,,,,,,,,,,0.9
2013-01-01,,,,,,,,,,
2013-04-01,,,,,,,,,,
2013-07-01,,,,,,,,,,-1.9
2013-10-01,,,,,,,,,,-1.4
2014-01-01,,,,,,,,,,
2014-04-01,,,,,,,,,,-1.3
2014-07-01,,,,,,,,,,1.4
2014-10-01,,,,,,,,,,-1.4
2015-01-01,,,,,,,,,,0.1
2015-04-01,,,,,,,,,,0.8
2015-07-01,,-2.4,-2.1,-7.8,-16.2,-1.1,,-17.0,-30.1,
2015-10-01,,,,,,,,,,0.5
2016-01-01,,,,,,,,,,-0.7
2016-04-01,,,,,,,,,,-1.1
2016-07-01,1.5,-0.3,9.6,18.3,5.6,0.4,8.1,1.1,28.7,
2016-10-01,,,,,,,,,,2.2
2017-01-01,,,,,,,,,,2.5
2017-04-01,,,,,,,,,,-1.2
2017-07-01,,,,,,,,,,0.6
2017-10-01,3.4,-1.2,1.9,-8.6,1.9,3.6,1.2,20.7,-3.6,
2018-01-01,0.1,-1.1,1.4,-3.3,11.7,-0.2,13.8,-4.9,29.4,
2018-04-01,-1.7,1.0,-0.5,4.2,-9.1,-1.9,-9.6,-7.2,-12.8,
2018-07-01,-1.0,-1.5,-13.5,0.8,-9.1,2.3,-8.2,-4.8,-1.7,
2018-10-01,1.4,0.8,12.0,9.1,21.3,-1.1,20.5,15.7,14.8,
2019-01-01,0.9,-0.4,3.6,-13.4,-11.0,0.1,-8.5,-12.2,8.2,
2019-04-01,-1.5,-0.8,-1.0,-3.0,-16.6,-1.6,-15.0,-19.3,-5.9,
2019-07-01,,,1.9,3.7,6.1,,,,-25.8,
2019-10-01,,-0.8,-6.3,,14.1,,17.0,0.0,,
2020-01-01,-3.3,-1.1,,-32.9,-26.2,-5.4,,-27.2,,
2020-04-01,-0.9,-3.0,1.4,-38.2,,-1.5,,,-52.9,
2020-07-01,5.1,3.6,3.2,96.2,,5.5,,188.8,,
2020-10-01,-1.0,-0.5,-12.1,39.7,17.6,1.1,19.6,,33.5,
2021-01-01,0.3,1.4,7.5,,1.2,-0.9,2.3,,8.6,
2021-04-01,,,-8.4,22.0,-20.5,-7.1,,29.2,-22.2,
