,VA Industrie extraction (Mdh)
1998Q1,3553.0094
1998Q2,3546.9186
1998Q3,3460.1998
1998Q4,3611.6663
1999Q1,3644.0717
1999Q2,3819.2707
1999Q3,3522.7853
1999Q4,3599.9763
2000Q1,3529.2744
2000Q2,3615.2098
2000Q3,3915.9813
2000Q4,3778.7823
2001Q1,3876.1984
2001Q2,3666.8566
2001Q3,3871.1336
2001Q4,3997.7516
2002Q1,3873.8815
2002Q2,3894.1459
2002Q3,3867.1267
2002Q4,3688.1243
2003Q1,3912.8324
2003Q2,3999.1449
2003Q3,3845.1364
2003Q4,3853.858
2004Q1,4538.0006
2004Q2,4263.4751
2004Q3,4478.6023
2004Q4,4775.9039
2005Q1,4718.791
2005Q2,4872.0703
2005Q3,4949.8836
2005Q4,4845.9768
2006Q1,4888.2741
2006Q2,5014.3588
2006Q3,5086.7073
2006Q4,5346.0238
2007Q1,5222.1173
2007Q2,5343.8902
2007Q3,5467.4279
2007Q4,5209.7635
2008Q1,5543.5454
2008Q2,5423.9919
2008Q3,5522.8175
2008Q4,4440.5219
2009Q1,2882.0476
2009Q2,3666.7698
2009Q3,3900.288
2009Q4,4441.9876
2010Q1,5024.8516
2010Q2,5397.2505
2010Q3,5305.8702
2010Q4,5434.6143
2011Q1,5564.8291
2011Q2,5527.3775
2011Q3,5454.1201
2011Q4,5665.3662
2012Q1,5263.3882
2012Q2,5360.7351
2012Q3,5551.9127
2012Q4,5559.1405
2013Q1,5239.3815
2013Q2,5351.4272
2013Q3,5369.2556
2013Q4,5514.9665
2014Q1,5642.9096
2014Q2,5608.0757
2014Q3,5519.7177
2014Q4,5357.297
2015Q1,5405.244
2015Q2,5540.8649
2015Q3,5673.7843
2015Q4,5624.1068
2016Q1,5715.5959
2016Q2,5623.036
2016Q3,5747.1884
2016Q4,5897.7162
2017Q1,6007.8946
2017Q2,6609.9649
2017Q3,6407.0669
2017Q4,6488.1535
2018Q1,6331.538
2018Q2,6383.4616
2018Q3,6308.7659
2018Q4,6288.238
2019Q1,6545.2388
2019Q2,6399.2699
2019Q3,6469.598
2019Q4,6483.5468
2020Q1,6516.4307
2020Q2,6672.8579
2020Q3,6599.4359
2020Q4,6788.3745
2021Q1,7141.0676
2021Q2,7055.947
2021Q3,7215.3945
2021Q4,7112.6242
2022Q1,6191.9342
2022Q2,5779.3559
2022Q3,5541.0419
2022Q4,4461.1771
2023Q1,4917.4424
2023Q2,4917.5207
2023Q3,5291.6706
2023Q4,5929.1926
2024Q1,5781.3065
2024Q2,5822.0196
2024Q3,5952.2424
2024Q4,5918.6295
2025Q1,6321.128
2025Q2,6621.5497
2025Q3,6421.3732
2025Q4,5861.3969
2026Q1,6118.8519
