,Phosphates,Phosphates (2),Soufre solide,Soufre liquide,Soufre solide (2),Soufre liquide (2),Engrais,Exportations OCP,Exportations phosphate+derivés,Exportations autres extractions minières (Oct 2018)
1998-03-01,,5933.0,,,,,,,,
1998-04-01,,,,,,,,,,
1998-05-01,,9591.0,,,,,,,,
1998-06-01,,11344.0,,,,,,,,
1998-07-01,6928.0,13359.0,597.0,60.0,1372.0,155.0,,,,
1998-08-01,,15369.0,,,,,,,,
1998-09-01,8934.0,6104.7,777.0,71.0,1855.0,193.0,,,,
1998-10-01,9983.0,19208.0,831.0,75.0,2009.0,208.0,,,,
1998-11-01,10825.0,20987.0,921.0,84.0,2267.0,236.0,,,,
1998-12-01,11731.0,22966.0,962.0,86.0,2387.0,244.0,,,,
1999-01-01,1065.0,,41.0,11.0,120.0,37.0,,,,
1999-02-01,1892.0,3584.0,149.0,13.0,424.0,45.0,,,,
1999-03-01,,5661.0,,,,,,,,
1999-04-01,4078.0,7548.0,266.0,26.0,758.0,83.0,,,,
1999-05-01,4964.0,9494.0,339.0,30.0,956.0,98.0,,,,
1999-06-01,6005.0,11314.0,427.0,30.0,1201.0,98.0,,,,
1999-07-01,6912.0,13231.0,495.0,48.0,1383.0,146.0,,,,
1999-08-01,7807.0,15049.0,580.0,51.0,1587.0,155.0,,,,
1999-09-01,8756.0,16823.0,704.0,64.0,1880.0,185.0,,,,
1999-10-01,9696.0,18654.0,800.0,68.0,2113.0,194.0,,,,
1999-11-01,,20398.0,,,,,,,,
1999-12-01,11382.0,22163.0,1019.0,85.0,2617.0,232.0,,,,
2000-01-01,934.0,1863.0,92.0,6.0,192.0,14.0,,,,
2000-02-01,1682.0,3388.0,176.0,17.0,308.0,38.0,,,,
2000-03-01,2650.0,5014.0,303.0,17.0,643.0,38.0,,,,
2000-04-01,3373.0,6848.0,337.0,28.0,,,,,,
2000-05-01,4252.0,8669.0,455.0,32.0,947.0,70.0,,,,
2000-06-01,4972.0,10154.0,571.0,39.0,1182.0,85.0,,,,
2000-07-01,5840.0,11994.0,706.0,50.0,1448.0,108.0,,,,
2000-08-01,6751.0,14048.0,855.0,50.0,1753.0,108.0,,,,
2000-09-01,7909.0,16009.0,975.0,62.0,1986.0,132.0,,,,
2000-10-01,8804.0,18003.0,1113.0,77.0,2261.0,161.0,,,,
2000-11-01,9725.0,19657.0,1236.0,85.0,2504.0,179.0,,,,
2000-12-01,10487.0,21459.0,1326.0,92.0,2672.0,194.0,,,,
2001-01-01,1034.0,1841.0,80.0,10.0,165.0,22.0,,,,
2001-02-01,2261.0,3606.0,193.0,17.0,416.0,40.0,,,,
2001-03-01,3047.0,5414.0,253.0,29.0,558.0,69.0,,,,
2001-04-01,3804.0,7164.0,332.0,47.0,720.0,115.0,,,,
2001-05-01,4526.0,8943.0,424.0,57.0,912.0,138.0,,,,
2001-06-01,5304.0,10512.0,512.0,61.0,1091.0,147.0,,,,
2001-07-01,6093.0,12260.0,615.0,77.0,1319.0,200.0,,,,
2001-08-01,7143.0,14261.0,710.0,85.0,1558.0,233.0,,,,
2001-09-01,8232.0,16255.0,793.0,89.0,1792.0,248.0,,,,
2001-10-01,9170.0,18334.0,865.0,100.0,2011.0,290.0,,,,
2001-11-01,10165.0,20231.0,951.0,106.0,2249.0,313.0,,,,
2001-12-01,10858.0,21995.0,1051.0,108.0,2543.0,327.0,,,,
2002-01-01,930.0,1989.0,51.0,8.0,146.0,23.0,,,,
2002-02-01,1963.0,3728.0,134.0,13.0,366.0,38.0,,,,
2002-03-01,2841.0,5703.0,249.0,21.0,648.0,61.0,,,,
2002-04-01,3725.0,7575.0,332.0,30.0,855.0,84.0,,,,
2002-05-01,4636.0,9551.0,,,,,,,,
2002-06-01,5667.0,11515.0,532.0,43.0,1353.0,123.0,,,,
2002-07-01,6574.0,13623.0,663.0,51.0,1723.0,146.0,,,,
2002-08-01,7519.0,15595.0,784.0,60.0,2026.0,170.0,,,,
2002-09-01,8459.0,17582.0,875.0,63.0,2248.0,179.0,,,,
2002-10-01,9454.0,19580.0,944.0,69.0,2403.0,194.0,,,,
2002-11-01,10244.0,21224.0,1023.0,83.0,2607.0,229.0,,,,
2002-12-01,11139.0,23041.0,1118.0,95.0,2840.0,260.0,,,,
2003-01-01,999.0,1937.0,76.0,7.0,186.0,21.0,,,,
2003-02-01,1938.0,3728.0,176.0,22.0,385.0,53.0,,,,
2003-03-01,2810.0,5755.0,290.0,40.0,606.0,94.0,,,,
2003-04-01,3739.0,7714.0,429.0,48.0,850.0,109.0,,,,
2003-05-01,,9793.0,558.0,62.0,,,,,,
2003-06-01,5572.0,11744.0,718.0,71.0,1430.0,156.0,,,,
2003-07-01,6416.0,13700.0,800.0,83.0,1570.0,184.0,,,,
2003-08-01,7321.0,15720.0,931.0,88.0,1822.0,198.0,,,,
2003-09-01,8458.0,17545.0,1048.0,97.0,2044.0,213.0,,,,
2003-10-01,9201.0,19240.0,1205.0,102.0,2327.0,227.0,,,,
2003-11-01,10125.0,21126.0,1308.0,129.0,2530.0,270.0,,,,
2003-12-01,11011.0,22877.0,,,,,,,,
2004-01-01,1054.0,2188.0,139.0,8.0,270.0,27.0,,,,
2004-02-01,1903.0,4262.0,202.0,30.0,383.0,81.0,,,,
2004-03-01,2904.0,6410.0,391.0,40.0,699.0,96.0,,,,
2004-04-01,3671.0,8321.0,553.0,58.0,948.0,137.0,,,,
2004-05-01,4781.0,10384.0,755.0,68.0,1255.0,151.0,,,,
2004-06-01,5603.0,12493.0,913.0,76.0,1497.0,175.0,,,,
2004-07-01,6630.0,14345.0,1061.0,84.0,1716.0,203.0,,,,
2004-08-01,7689.0,16664.0,1265.0,103.0,2031.0,245.0,,,,
2004-09-01,8697.0,18911.0,1387.0,107.0,2204.0,258.0,,,,
2004-10-01,,21066.0,,,,,,,,
2004-11-01,10740.0,23165.0,1784.0,144.0,2810.0,329.0,,,,
2004-12-01,11828.0,25361.0,1887.0,156.0,2971.0,353.0,,,,
2005-01-01,900.0,2100.0,115.0,22.0,202.0,42.0,,,,
2005-02-01,1992.0,4227.0,271.0,44.0,430.0,97.0,,,,
2005-03-01,3174.0,6580.0,378.0,57.0,585.0,125.0,,,,
2005-04-01,4493.0,8816.0,586.0,86.0,888.0,181.0,,,,
2005-05-01,5763.0,11230.0,794.0,105.0,1182.0,210.0,,,,
2005-06-01,6907.0,13622.0,983.0,128.0,1439.0,266.0,,,,
2005-07-01,8120.0,16000.0,1235.0,144.0,1785.0,298.0,,,,
2005-08-01,9386.0,18492.0,1451.0,159.0,2069.0,326.0,,,,
2005-09-01,10297.0,20771.0,1601.0,182.0,2263.0,355.0,,,,
2005-10-01,11308.0,22970.0,1840.0,221.0,2574.0,414.0,,,,
2005-11-01,12316.0,24934.0,2069.0,243.0,2860.0,443.0,,,,
2005-12-01,13388.0,27254.0,2245.0,275.0,3095.0,485.0,,,,
2006-01-01,939.0,2130.0,181.0,22.0,235.0,29.0,,,,
2006-02-01,1865.0,3914.0,332.0,76.0,432.0,102.0,,,,
2006-03-01,3039.0,6353.0,527.0,116.0,690.0,156.0,,,,
2006-04-01,4292.0,8550.0,759.0,159.0,1005.0,216.0,,,,
2006-05-01,5367.0,10951.0,996.0,194.0,1343.0,267.0,,,,
2006-06-01,6455.0,13431.0,,,,,,,,
2006-07-01,7629.0,15781.0,1372.0,256.0,1888.0,357.0,,,,
2006-08-01,9013.0,18177.0,1514.0,286.0,2111.0,402.0,,,,
2006-09-01,10218.0,20450.0,1711.0,313.0,2434.0,448.0,,,,
2006-10-01,11258.0,22847.0,1808.0,329.0,2592.0,473.0,,,,
2006-11-01,12410.0,25027.0,1939.0,356.0,2809.0,517.0,,,,
2006-12-01,13505.0,27386.0,2102.0,366.0,3211.0,578.0,,,,
2007-01-01,,2245.0,157.0,26.0,,,,,,
2007-02-01,1996.0,4419.0,187.0,47.0,318.0,80.0,,,,
2007-03-01,3332.0,6908.0,316.0,78.0,564.0,141.0,,,,
2007-04-01,4428.0,9194.0,425.0,104.0,777.0,191.0,,,,
2007-05-01,,11568.0,585.0,122.0,1095.0,226.0,,,,
2007-06-01,6960.0,14020.0,703.0,140.0,1321.0,261.0,,,,
2007-07-01,8066.0,16317.0,855.0,153.0,1626.0,287.0,,,,
2007-08-01,9460.0,18799.0,1101.0,172.0,1907.0,307.0,,,,
2007-09-01,10708.0,21185.0,1404.0,213.0,2235.0,353.0,,,,
2007-10-01,11802.0,23358.0,1707.0,276.0,2551.0,424.0,,,,
2007-11-01,12807.0,25583.0,1948.0,297.0,2802.0,448.0,,,,
2007-12-01,14120.0,27834.0,2401.0,328.0,3142.0,473.0,,,,
2008-01-01,987.0,2239.0,141.0,44.0,132.0,25.0,,,,
2008-02-01,1999.0,4427.0,916.0,138.0,396.0,56.0,,,,
2008-03-01,3255.0,6965.0,1303.0,198.0,539.0,76.0,,,,
2008-04-01,4366.0,9215.0,2192.0,314.0,862.1,116.2,,,,
2008-05-01,5713.0,11672.0,,,,,,,,
2008-06-01,6805.0,13945.0,3921.0,477.0,1433.0,171.0,,,,
