,Parc téléphonie mobile global (en milliers),Parc de la téléphonie mobile par opérateur — Maroc télecom,Parc de la téléphonie mobile par opérateur — Méditel,Parc de la téléphonie mobile par opérateur — WANA Corporate,Parts de marché dans le secteur de la téléphonie fixe — Parc résidentiel,Parts de marché dans le secteur de la téléphonie fixe — Parc professionnel,Parts de marché dans le secteur de la téléphonie mobile — Ensemble des opérateur,Parts de marché dans le secteur de la téléphonie mobile — Maroc télecom,Parts de marché dans le secteur de la téléphonie mobile — Méditel,Parts de marché dans le secteur de la téléphonie mobile — WANA Corporate,Revenu moyen d’une minute de communication (ARPM) — Téléphone fixe,Revenu moyen d’une minute de communication (ARPM) Mobile — Téléphone mobile,Revenu moyen d’une minute de communication (ARPM) Mobile — Prépayé,Revenu moyen d’une minute de communication (ARPM) Mobile — Post payé,Trafic voix sortant du Fixe — Téléphone fixe,Publiphones,Internet,Internet ADSL,Liaisons louées (LL),Internet 3G,Data Only,Data+Voix,Internet (2),Domaine .ma,Internet (3),Internet ADSL (2),Internet 3G (2),Taux de pénétration du mobile,Parc Internet global  (en milliers),Taux de pénétration de l’Internet,Parc liaisons Data Entreprises Nationale (T1-2018),Parc des noms de domaine «.ma»,Nouveaux enregistrements durant le trimestre
1998-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,,,,,,,,,,,,65000.0,,,,,,,,,,,,,,,,,
2002-04-01,,,,,,,,,,,,,,,,69000.0,,,,,,,,,,,,,,,,,
2002-07-01,,,,,,,,,,,,,,,,72000.0,,,,,,,,,,,,,,,,,
2002-10-01,,,,,,,,,,,,,,,,77000.0,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,82000.0,,,,,,,,,,,,,,,,,
2003-04-01,,,,,,,,,,,,,,,,85000.0,,,,,,,,,,,,,,,,,
2003-07-01,,,,,,,,,,,,,,,,89000.0,,,,,,,,,,,,,,,,,
2003-10-01,,,,,,,,,,,,,,,,91514.0,60812.0,2712.0,2500.0,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,95043.0,70277.0,9377.0,2600.0,,,,,,,,,,,,,,
2004-04-01,,,,,,,,,,,,,,,,97470.0,80277.0,28247.0,2130.0,,,,,,,,,,,,,,
2004-07-01,,,,,,,,,,,,,,,,101281.0,90493.0,44593.0,1800.0,,,,,,,,,,,,,,
2004-10-01,,,,,,,,,,,,,,,,135760.0,102610.0,62960.0,1700.0,,,,,,,,,,,,,,
2005-01-01,,,,,,,,,,,,,,,,158658.0,134720.0,94240.0,1600.0,,,,,,,,,,,,,,
2005-04-01,,,,,,,,,,,,,,,,161168.0,168183.0,139329.0,1309.0,,,,,,,,,,,,,,
2005-07-01,,,,,,,,,,,,,,,,164206.0,206452.0,183927.0,1273.0,,,,,,,,,,,,,,
2005-10-01,,,,,,,,,,,,,,,,164091.0,262324.0,248011.0,1126.0,,,,,,,,,,,,,,
2006-01-01,12904.0,8576.0,4329.0,,100.0,100.0,100.0,66.46,33.55,,,,,,,164892.0,315883.0,302421.0,1086.0,,,,,,,,,0.4317,316.0,,,,
2006-04-01,13244.0,8924.0,4320.0,,100.0,100.0,100.0,67.38,32.62,,,,,,,161373.0,341859.0,331746.0,1060.0,,,,,,,,,0.4431,342.0,,,,
