,VA Services aux entreprises(MDH)
1998Q1,4983.793265791043
1998Q2,4823.42115209373
1998Q3,4764.686142300127
1998Q4,4792.776799157937
1999Q1,4897.084650298246
1999Q2,5042.894918158367
1999Q3,5103.71109173874
1999Q4,5164.459293817114
2000Q1,5185.518684192515
2000Q2,5231.537063651471
2000Q3,5256.937708322336
2000Q4,5318.64824093778
2001Q1,5373.46097130076
2001Q2,5426.232374813726
2001Q3,5474.392684815849
2001Q4,5566.102211309254
2002Q1,5628.130611831463
2002Q2,5732.395079401871
2002Q3,5826.98570083274
2002Q4,5931.238805097943
2003Q1,6037.392550384369
2003Q2,6145.641294151756
2003Q3,6244.386170493912
2003Q4,6332.417948051596
2004Q1,6479.4453333429
2004Q2,6551.687892806993
2004Q3,6595.440428820459
2004Q4,6681.928000009866
2005Q1,6852.621874026178
2005Q2,6946.207743900804
2005Q3,7055.568860931954
2005Q4,7147.417364131246
2006Q1,7147.656174233846
2006Q2,7289.642158400934
2006Q3,7369.662614195682
2006Q4,7508.500758485611
2007Q1,7786.808419897126
2007Q2,7909.651274964433
2007Q3,8034.287388045317
2007Q4,8060.518460898759
2008Q1,8097.813770716944
2008Q2,7968.415325086912
2008Q3,8015.015506134221
2008Q4,7986.260104846804
2009Q1,8290.813327285232
2009Q2,8385.793522658896
2009Q3,8457.267288467367
2009Q4,8528.70965526489
2010Q1,8446.358198091304
2010Q2,8504.545690753926
2010Q3,8655.198132470436
2010Q4,8751.378875777911
2011Q1,8867.198538998051
2011Q2,9057.104156009606
2011Q3,9077.638626093489
2011Q4,9169.901904167487
2012Q1,9152.920213693273
2012Q2,9335.710791475201
2012Q3,9479.279533755922
2012Q4,9648.084016328314
2013Q1,9469.419866941462
2013Q2,9571.258880600453
2013Q3,9651.851166367913
2013Q4,9722.862660855726
2014Q1,9295.884824085
2014Q2,9767.321900988
2014Q3,10107.972610296
2014Q4,10167.82074127
2015Q1,10451.580260596
2015Q2,10762.268251938
2015Q3,10888.177317482
2015Q4,11092.974042983
2016Q1,11458.16714315
2016Q2,11328.56407885
2016Q3,11537.317415827
2016Q4,11656.416926308
2017Q1,11731.107644367
2017Q2,12057.259800652
2017Q3,12150.222294655
2017Q4,12224.806389866
2018Q1,12405.776287583
2018Q2,12869.661760372
2018Q3,12916.5934303
2018Q4,12928.238456589
2019Q1,13376.985863152
2019Q2,14257.24979383
2019Q3,13991.086706061
2019Q4,13761.625151957
2020Q1,13110.474019622
2020Q2,10074.780533596
2020Q3,12066.68088669
2020Q4,12733.782102791
2021Q1,13039.012767296
2021Q2,12712.872749014
2021Q3,13265.924062849
2021Q4,13597.95385549
2022Q1,14248.9549006251
2022Q2,14404.8609656641
2022Q3,14725.83072696411
2022Q4,14907.3932156821
2023Q1,15181.09924951918
2023Q2,15423.07904084291
2023Q3,15731.52534749078
2023Q4,15919.90451513953
2024Q1,16053.49573136985
2024Q2,16268.90172615158
2024Q3,16686.54949881583
2024Q4,16956.18391386763
2025Q1,16697.81170515199
2025Q2,16970.72318682071
2025Q3,17172.52078311445
2025Q4,17536.24538041363
2026Q1,17031.76793925503
