q,r,AIC
0,0,-200.75225961355557
0,1,-207.30850389604052
0,2,-205.3110918014673
0,3,-204.18580440609523
0,4,-203.83397950838756
0,5,-205.60619778212515
0,6,-204.28955621831108
0,7,-203.98949376836086
0,8,-203.33519593914275
1,0,-198.8462467515767
1,1,-205.42233634381705
1,2,-203.43262637618898
1,3,-202.3935663193251
1,4,-201.94119041691266
1,5,-204.3526554054029
1,6,-202.69713233024214
1,7,-202.52162179105713
1,8,-201.61908786576456
2,0,-203.22173858600226
2,1,-208.9894937822699
2,2,-207.3311211886892
2,3,-210.26181379648858
2,4,-209.5319129374255
2,5,-209.73393968503566
2,6,-207.7621558756072
2,7,-206.56185731779001
2,8,-205.55110942352695
3,0,-202.9270195573457
3,1,-209.5973015113425
3,2,-207.87644920884955
3,3,-211.96775547567273
3,4,-209.98030423757479
3,5,-209.7869659040314
3,6,-207.9693823331061
3,7,-206.47954932345252
3,8,-205.91696427117566
4,0,-206.13933672069186
4,1,-210.39903259470472
4,2,-208.97739420298333
4,3,-215.4413073946358
4,4,-213.47857453995798
4,5,-212.17498712166432
4,6,-210.20766936875714
4,7,-208.95368930765284
4,8,-208.84479211457062
5,0,-204.78060486092167
5,1,-208.853417410839
5,2,-207.284121230969
5,3,-214.54649469332634
5,4,-212.7820284930748
5,5,-211.2091932166763
5,6,-209.4197991333785
5,7,-208.02392950666191
5,8,-207.7287147313114
6,0,-208.340023347212
6,1,-210.58994377026607
6,2,-208.84623811088167
6,3,-214.63600525561662
6,4,-212.8239256139681
6,5,-211.6997144877504
6,6,-209.79336069523663
6,7,-207.87923381362117
6,8,-207.3585485577853
7,0,-206.34071101222185
7,1,-208.68100258616104
7,2,-206.9830720015158
7,3,-213.36477738486235
7,4,-211.61036575747386
7,5,-210.47563893131536
7,6,-208.7368490853036
7,7,-206.92026416292862
7,8,-205.81147201325945
8,0,-204.63728656021817
8,1,-207.21255914474335
8,2,-205.43540886742895
8,3,-211.9774949684878
8,4,-210.08332253986103
8,5,-209.16150641306504
8,6,-207.3898100776642
8,7,-205.46625032146528
8,8,-204.61599453804521
