q,r,AIC
0,0,-213.40786294819512
0,1,-211.40890788714057
0,2,-209.5737435688687
0,3,-209.49592440255242
0,4,-210.6857836439232
0,5,-208.82660422105346
0,6,-207.00825755807492
0,7,-205.0158270281427
0,8,-203.96441253066203
1,0,-211.90541778197382
1,1,-210.03641730774714
1,2,-208.33473596666167
1,3,-208.4074563098131
1,4,-210.24490060905228
1,5,-208.89891146294715
1,6,-207.4036219002349
1,7,-205.405715252502
1,8,-204.12353814421235
2,0,-210.06023256552427
2,1,-208.16447875724822
2,2,-206.3618816444323
2,3,-206.56513062050115
2,4,-208.57167752983258
2,5,-207.4140005468673
2,6,-206.43400006219062
2,7,-204.49717734762032
2,8,-203.55702976047394
3,0,-208.0747336201231
3,1,-206.1994598333252
3,2,-204.38891643584606
3,3,-205.26017773740404
3,4,-206.99675541762593
3,5,-205.7478912661898
3,6,-204.633717028886
3,7,-202.64425181943932
3,8,-201.81491681576676
4,0,-206.07783518064053
4,1,-204.20029192456502
4,2,-202.38892557899882
4,3,-203.26039018053868
4,4,-206.45798254639553
4,5,-205.05828621859888
4,6,-204.17935051748393
4,7,-202.17953764480487
4,8,-202.90172953168724
5,0,-206.9183491623517
5,1,-205.6536647844053
5,2,-203.70741123558216
5,3,-205.0200140798971
5,4,-206.7608095606056
5,5,-204.7622352358312
5,6,-203.50450510950142
5,7,-201.54996243703775
5,8,-201.57845826172866
6,0,-204.9346125372204
6,1,-203.78313190048922
6,2,-201.81814049283113
6,3,-203.05478656317635
6,4,-204.93667293726054
6,5,-202.94702292445967
6,6,-201.51744710875008
6,7,-199.56946941612222
6,8,-199.5800349288797
7,0,-203.05008683257117
7,1,-201.80288927708207
7,2,-199.83046637280154
7,3,-201.14557232759938
7,4,-203.33521932850712
7,5,-201.37004553559552
7,6,-199.99731593333576
7,7,-198.0154559998732
7,8,-197.96343942515617
8,0,-203.15180504958252
8,1,-201.37702944108904
8,2,-199.5421385305351
8,3,-200.14203446431156
8,4,-201.4433285069169
8,5,-199.51024197071126
8,6,-198.18041972099894
8,7,-196.1817898220902
8,8,-197.4712970188522
