q,r,AIC
0,0,-44.00631919215091
0,1,-43.290715324324005
0,2,-46.6352367155145
0,3,-45.421784182607915
0,4,-71.160822278387
0,5,-71.4358906262842
0,6,-75.72994127672034
0,7,-74.76029446220998
0,8,-73.10185277532688
1,0,-43.68765772920725
1,1,-42.21129308143038
1,2,-44.81513343339179
1,3,-44.33708348351995
1,4,-69.35151503565491
1,5,-72.39028639767768
1,6,-77.21368488027414
1,7,-77.4711309822007
1,8,-75.5896954381852
2,0,-43.72972095005327
2,1,-42.29488549545182
2,2,-48.02965437281761
2,3,-46.33388289041718
2,4,-76.56612729948458
2,5,-78.08268424677946
2,6,-76.922965774256
2,7,-76.83864932833882
2,8,-75.31535998595808
3,0,-42.48739976128372
3,1,-41.00153383995868
3,2,-53.94835988587154
3,3,-71.12698550683812
3,4,-80.36126235182512
3,5,-78.98122377363985
3,6,-77.20344571671906
3,7,-77.26673683324779
3,8,-75.41903456579897
4,0,-45.17206043967532
4,1,-43.405633369516856
4,2,-57.95514534723331
4,3,-78.67893585665611
4,4,-82.23160031013771
4,5,-80.39996203089834
4,6,-78.40137512974907
4,7,-78.55349389751366
4,8,-76.73839813857839
5,0,-44.48793035434717
5,1,-42.573204443865244
5,2,-56.867590375855315
5,3,-81.79918454234704
5,4,-84.81055349927023
5,5,-82.82069262516524
5,6,-80.85896064627913
5,7,-81.19512676339079
5,8,-79.44146905121217
6,0,-43.02449161956957
6,1,-41.15455148361037
6,2,-55.09540788486028
6,3,-80.52419244885208
6,4,-82.81127159209498
6,5,-80.82134077268549
6,6,-78.86504779101926
6,7,-79.30762022351442
6,8,-77.52186600907103
7,0,-42.19281940359919
7,1,-40.25041664679599
7,2,-53.25720565876229
7,3,-78.54234070245077
7,4,-80.83666274957336
7,5,-78.8388562299384
7,6,-76.88386943833059
7,7,-77.38718894127041
7,8,-75.55863596905269
8,0,-40.27727576759337
8,1,-38.33576838148727
8,2,-51.278604802591715
8,3,-76.55883866327221
8,4,-78.8433666853438
8,5,-76.84481902274618
8,6,-74.88389192696489
8,7,-75.3887455757233
8,8,-73.56451644257137
