q,r,AIC
0,0,-256.87829263585434
0,1,-255.0728441159941
0,2,-253.9940833980774
0,3,-252.050761308051
0,4,-252.17236091152893
0,5,-250.53185448622736
0,6,-248.87791820871195
0,7,-247.01108685661313
0,8,-245.10022835368585
1,0,-254.95160132737414
1,1,-253.18205424103303
1,2,-252.0360611555019
1,3,-250.089840475556
1,4,-250.17748286244205
1,5,-248.53447830360142
1,6,-246.89722684164593
1,7,-245.02013513255054
1,8,-243.12611123231585
2,0,-252.9866229704873
2,1,-251.20842980434077
2,2,-250.1353839102474
2,3,-248.21064007943374
2,4,-248.2244928543867
2,5,-246.69952947050547
2,6,-244.9447911236805
2,7,-243.10225057392046
2,8,-241.2925127614551
3,0,-250.99604171274922
3,1,-249.28756366658365
3,2,-248.17078093218362
3,3,-246.23150610981736
3,4,-246.22763031169092
3,5,-244.7097245858315
3,6,-242.9459353110056
3,7,-241.1302937221372
3,8,-239.35391770274947
4,0,-262.09890577417224
4,1,-262.6698330544842
4,2,-260.86432492487546
4,3,-258.89875099688976
4,4,-258.30443446732045
4,5,-257.148025710238
4,6,-255.3294167752838
4,7,-256.6812643563423
4,8,-255.96544278119245
5,0,-261.1174813315717
5,1,-261.67365933695055
5,2,-260.8202013825578
5,3,-259.03668328971173
5,4,-258.9455501441007
5,5,-257.4727216912552
5,6,-256.6079313021911
5,7,-258.64442991458066
5,8,-257.1353606755166
6,0,-259.12901230030576
6,1,-259.9849155528594
6,2,-259.29021632092883
6,3,-258.41386909710246
6,4,-257.6519819815661
6,5,-256.2577668864816
6,6,-255.52539368543063
6,7,-256.67065681064514
6,8,-255.1538868289894
7,0,-257.79851259673586
7,1,-258.0062961682263
7,2,-257.3556349164404
7,3,-256.61688833778277
7,4,-255.67300597191218
7,5,-254.3361813613875
7,6,-253.6140439825573
7,7,-254.91840397991274
7,8,-253.21931493327372
8,0,-256.7921869897397
8,1,-257.09023056409126
8,2,-255.74499655406106
8,3,-254.68372712391078
8,4,-253.8306277219358
8,5,-253.09299021287626
8,6,-253.02868209719423
8,7,-254.3279338104985
8,8,-252.53696980181564
