q,r,AIC
0,0,-134.55864102029398
0,1,-132.61827741177981
0,2,-130.78464516486355
0,3,-128.90826873830366
0,4,-134.7383968365863
0,5,-133.74140096002225
0,6,-131.96765599968396
0,7,-134.73702385103985
0,8,-135.47204666817595
1,0,-138.5952201877454
1,1,-146.341223653207
1,2,-144.81554487761997
1,3,-142.81621816809363
1,4,-146.75940757695497
1,5,-144.8051713433187
1,6,-142.80650005659186
1,7,-147.34417498900453
1,8,-145.7261510713067
2,0,-137.46991401166898
2,1,-145.3170227224587
2,2,-143.32842909398568
2,3,-141.33961376072844
2,4,-144.92577916227503
2,5,-142.95541234385144
2,6,-140.98277042430445
2,7,-145.40016846584354
2,8,-143.88938003352405
3,0,-138.10352141898272
3,1,-144.2643058505192
3,2,-142.34955187815953
3,3,-140.65899255699904
3,4,-142.97183099542977
3,5,-140.99933076353602
3,6,-139.02019828723607
3,7,-143.56366951275615
3,8,-142.0297300527443
4,0,-140.2569736758996
4,1,-148.09445818425328
4,2,-146.26122646086532
4,3,-144.7010786803776
4,4,-146.654212809158
4,5,-145.12113161226543
4,6,-143.14369864250165
4,7,-144.74912751319468
4,8,-143.47844432218733
5,0,-138.56334337793822
5,1,-146.19789897077908
5,2,-144.31628599613552
5,3,-142.74441469118392
5,4,-144.66544778484712
5,5,-143.12800369141917
5,6,-141.14464543903986
5,7,-142.76977325181932
5,8,-141.48110433147934
6,0,-136.67882047281643
6,1,-144.2130406372294
6,2,-142.3287343073968
6,3,-140.74977835879977
6,4,-142.79930971848796
6,5,-141.30689963879408
6,6,-139.328333713416
6,7,-142.00230516001267
6,8,-140.92664914833102
7,0,-143.2956737393883
7,1,-150.69939576444798
7,2,-148.69995332306772
7,3,-147.5886125742177
7,4,-148.26479335868368
7,5,-146.4016300100501
7,6,-144.40163007964674
7,7,-147.88108444015504
7,8,-145.88289917246715
8,0,-142.301644861804
8,1,-148.71715961744877
8,2,-146.71716076869077
8,3,-145.5962311913525
8,4,-146.27903249788767
8,5,-144.42756873118174
8,6,-142.42844945680613
8,7,-145.89564648155877
8,8,-143.89972631056304
