q,r,AIC
0,0,-137.4528236777537
0,1,-135.66376165131808
0,2,-135.19663977000604
0,3,-133.30409512679728
0,4,-134.08026394172776
0,5,-132.98252649443194
0,6,-132.66259100532622
0,7,-130.77390818571763
0,8,-129.51360114248496
1,0,-135.6294808816018
1,1,-133.82785532657175
1,2,-133.4233092819103
1,3,-131.6107691376142
1,4,-132.40279472950368
1,5,-131.65985067613002
1,6,-131.16608532918104
1,7,-129.38162898974582
1,8,-128.05894958009978
2,0,-135.7679335995855
2,1,-134.06455181265682
2,2,-133.58306182100793
2,3,-131.85141080131137
2,4,-135.0981695188282
2,5,-134.43332650536175
2,6,-132.91080922058705
2,7,-131.0806429253176
2,8,-129.35079409161918
3,0,-135.83045906764295
3,1,-134.10543633503008
3,2,-133.91574099067108
3,3,-132.20291428775988
3,4,-136.1132818528057
3,5,-138.11394429919432
3,6,-136.52014235217268
3,7,-134.5340806372295
3,8,-132.8739134441657
4,0,-134.46823095425322
4,1,-132.74900121397513
4,2,-132.5802720259052
4,3,-130.9860061041896
4,4,-134.68097905552733
4,5,-137.3723928081575
4,6,-135.40535749187455
4,7,-133.42875021562799
4,8,-132.07712552424576
5,0,-133.33608253741556
5,1,-131.7204790401405
5,2,-131.56236535771345
5,3,-129.96500962124074
5,4,-133.67961567346018
5,5,-136.51094728999527
5,6,-134.52878539495262
5,7,-132.99936365708808
5,8,-131.71162275074502
6,0,-132.49855391667018
6,1,-130.6447524183992
6,2,-130.29928427332572
6,3,-128.68100553346795
6,4,-132.2871407869853
6,5,-135.15623344564725
6,6,-133.16689138592162
6,7,-131.4114401332766
6,8,-129.80326955815931
7,0,-130.77755675192012
7,1,-128.94640137297606
7,2,-128.39034318978864
7,3,-126.7558729621685
7,4,-130.56384010923122
7,5,-133.38505872555052
7,6,-131.3933310504084
7,7,-129.6160403623364
7,8,-127.89865992202999
8,0,-129.03486381136054
8,1,-127.15505073236878
8,2,-126.67579566534874
8,3,-124.93951789659161
8,4,-128.7179316481852
8,5,-131.85055894940166
8,6,-129.85958631719666
8,7,-128.06689647291833
8,8,-126.31800382019372
