q,r,AIC
0,0,-20.08832756354891
0,1,-18.08848069186789
0,2,-16.737216172473723
0,3,-14.802677047824318
0,4,-13.109255198162014
0,5,-11.5271212417538
0,6,-10.012461646123683
0,7,-8.924091925960106
0,8,-7.269131472306739
1,0,-41.10340733035382
1,1,-39.158979221331265
1,2,-37.480436287105576
1,3,-36.28348701626893
1,4,-35.26999589228225
1,5,-34.95642006516223
1,6,-33.258054977858805
1,7,-31.33151951006095
1,8,-32.97339471521043
2,0,-39.77329514062435
2,1,-37.82497175204246
2,2,-36.077782004183724
2,3,-34.85654816955004
2,4,-34.39807036672164
2,5,-33.499168561210695
2,6,-32.08439450600825
2,7,-30.149795309320616
2,8,-32.0696357458292
3,0,-38.90688198723598
3,1,-36.91166209840151
3,2,-35.10469979648744
3,3,-33.980454055976516
3,4,-33.841915134370886
3,5,-32.25997751847193
3,6,-30.71571588937124
3,7,-28.795764970978738
3,8,-30.18177557044355
4,0,-38.335503363789286
4,1,-36.34036387686214
4,2,-34.48037378563728
4,3,-32.888572672652046
4,4,-32.26660967303752
4,5,-30.846654252155822
4,6,-29.898923176500077
4,7,-28.224578804126153
4,8,-29.11979797963422
5,0,-36.53000740587911
5,1,-34.59146641703928
5,2,-32.75591586715986
5,3,-30.976158879847695
5,4,-30.33434000675149
5,5,-28.847701277654103
5,6,-28.14898347693469
5,7,-26.331730911464717
5,8,-27.250092929518125
6,0,-35.153852939644
6,1,-33.252132385765044
6,2,-31.273709851202078
6,3,-29.697280459151898
6,4,-28.57853362964554
6,5,-27.082969686137808
6,6,-26.15152598231854
6,7,-24.34049624990984
6,8,-25.50892240823658
7,0,-33.48663885242543
7,1,-31.716043684637462
7,2,-29.814299247955134
7,3,-28.56771562589681
7,4,-27.13423466961744
7,5,-25.427595478540738
7,6,-24.460919723522395
7,7,-23.101894915364113
7,8,-23.564775041190643
8,0,-32.58390764343089
8,1,-30.775199145356595
8,2,-28.94662216024156
8,3,-28.066367926627663
8,4,-26.34451027509943
8,5,-24.456194994952718
8,6,-24.227625015970595
8,7,-22.938947359936748
8,8,-28.951539358956722
