q,r,AIC
0,0,-70.84505715807492
0,1,-69.90551437560484
0,2,-68.04482461168482
0,3,-66.04487179450213
0,4,-72.94059760487393
0,5,-71.40990602018364
0,6,-71.1177888217288
0,7,-69.73840698532659
0,8,-70.23248466386515
1,0,-69.44308932519895
1,1,-68.35944432157478
1,2,-66.58003477984919
1,3,-64.60035207784975
1,4,-73.33512425696402
1,5,-71.33541239451965
1,6,-71.73513618699388
1,7,-71.23708641393269
1,8,-71.98768193815397
2,0,-68.62075405188203
2,1,-67.56841994676945
2,2,-65.70336773056908
2,3,-64.19632198483595
2,4,-73.70672344577649
2,5,-71.84080817565284
2,6,-71.16146423754927
2,7,-72.2679657371016
2,8,-72.57473647271925
3,0,-66.62147736241388
3,1,-65.57837491104158
3,2,-63.72679814932796
3,3,-64.90852453689968
3,4,-72.30114131375643
3,5,-70.42034299328124
3,6,-70.238491270347
3,7,-72.71503706019595
3,8,-72.06399924642012
4,0,-79.08933369362146
4,1,-77.0896466142151
4,2,-75.53214718970607
4,3,-78.24166154783794
4,4,-80.040875208459
4,5,-78.06007833102007
4,6,-76.57761858012245
4,7,-80.99511485677378
4,8,-79.9793632742271
5,0,-83.55727169799326
5,1,-81.76020046699404
5,2,-79.76026583775
5,3,-83.75955263680015
5,4,-84.11096650538173
5,5,-82.27637508709627
5,6,-81.31600138965327
5,7,-84.56909470725914
5,8,-82.83664315071942
6,0,-83.35404329781957
6,1,-81.68991096959549
6,2,-79.69289350382734
6,3,-83.64757448406873
6,4,-83.34326216069321
6,5,-81.68709338494313
6,6,-80.52808205100995
6,7,-83.46488061385598
6,8,-81.59575045108436
7,0,-86.53721878299052
7,1,-85.12010380241934
7,2,-83.35907805809539
7,3,-87.35957788556709
7,4,-86.0434517735727
7,5,-84.30674119092707
7,6,-82.65687537544066
7,7,-85.58405941951851
7,8,-83.72360070203909
8,0,-84.94460560744051
8,1,-83.37457389201388
8,2,-81.69460655523187
8,3,-85.56288243339773
8,4,-84.29986981177272
8,5,-82.4766496230255
8,6,-80.89164960113949
8,7,-84.71055829102089
8,8,-82.76720878179545
