Date,VA Administration publique (Mdh)
1998-01-01,9568.826843906769
1998-04-01,11977.88799252956
1998-07-01,13349.64485760335
1998-10-01,13457.26276393325
1999-01-01,9695.713423095121
1999-04-01,12136.71971328967
1999-07-01,13526.66663853769
1999-10-01,13635.71160256404
2000-01-01,12755.51805539959
2000-04-01,12256.25558434883
2000-07-01,12033.9469942188
2000-10-01,12087.46947704472
2001-01-01,12418.49738051465
2001-04-01,12756.80762321484
2001-07-01,12896.39531575533
2001-10-01,12961.31985827038
2002-01-01,12934.50702548483
2002-04-01,12880.33869880414
2002-07-01,12899.05421393822
2002-10-01,12987.69289103793
2003-01-01,13037.4217212297
2003-04-01,13257.31468505672
2003-07-01,13416.85110278818
2003-10-01,13512.03310857005
2004-01-01,13657.60907247092
2004-04-01,13896.98673761042
2004-07-01,13989.60931343484
2004-10-01,14172.05483862522
2005-01-01,14329.26782791487
2005-04-01,14475.72190802314
2005-07-01,14732.80030579856
2005-10-01,14859.17216749754
2006-01-01,14941.38895925579
2006-04-01,14993.45227392932
2006-07-01,15103.95581054574
2006-10-01,15152.10736497304
2007-01-01,15077.63721780222
2007-04-01,15270.68817974946
2007-07-01,15466.05758708803
2007-10-01,15483.31723725396
2008-01-01,15983.64477774797
2008-04-01,16175.48558693388
2008-07-01,16441.83514605951
2008-10-01,16656.14396969637
2009-01-01,17952.3930502038
2009-04-01,18199.3836732646
2009-07-01,18336.34287841718
2009-10-01,18225.2060493883
2010-01-01,17994.28049610022
2010-04-01,18093.11916488349
2010-07-01,18411.47228450764
2010-10-01,18777.20113808518
2011-01-01,19427.95988365398
2011-04-01,19876.30015101086
2011-07-01,20451.8761603581
2011-10-01,20808.10209112893
2012-01-01,20697.60384003302
2012-04-01,20825.88782163915
2012-07-01,21388.1672130433
2012-10-01,21792.18817593464
2013-01-01,21847.01791976048
2013-04-01,22037.44300287526
2013-07-01,21925.53998665274
2013-10-01,22040.74159334473
2014-01-01,22259.183015
2014-04-01,22438.901145
2014-07-01,22625.609065
2014-10-01,22819.306775
2015-01-01,23019.994275
2015-04-01,23227.671565
2015-07-01,23442.338645
2015-10-01,23663.995515
2016-01-01,23906.2350296875
2016-04-01,24136.4343378125
2016-07-01,24368.1862940625
2016-10-01,24601.4908984375
2017-01-01,24832.6367415625
2017-04-01,25070.5312059375
2017-07-01,25311.4628821875
2017-10-01,25555.4317703125
2018-01-01,25692.5513140625
2018-04-01,25986.5492484375
2018-07-01,26327.5390171875
2018-10-01,26715.5206203125
2019-01-01,27309.2316164062
2019-04-01,27727.7018648437
2019-07-01,28129.6689242187
2019-10-01,28515.1327945312
2020-01-01,28838.2881671875
2020-04-01,29209.0677828125
2020-07-01,29581.6663328125
2020-10-01,29956.0838171875
2021-01-01,30330.157040625
2021-04-01,30709.077671875
2021-07-01,31090.682515625
2021-10-01,31474.971571875
2022-01-01,32004.85806284539
2022-04-01,32337.35025342528
2022-07-01,32615.36136588756
2022-10-01,32838.89140023223
2023-01-01,32764.92059145013
2023-04-01,32976.69638056341
2023-07-01,33231.19900249944
2023-10-01,33528.4284572582
2024-01-01,34442.81603932356
2024-04-01,34831.98973085742
2024-07-01,35264.61493193162
2024-10-01,35740.69164254619
2025-01-01,35582.92442156413
2025-04-01,35814.11148796024
2025-07-01,36258.93497646876
2025-10-01,37379.61054457409
2026-01-01,36757.16092747574
