Date,VA Electricite gaz eau (Mdh),"Crédit bancaire Électricité, gaz et eau (MDH) (déflaté, réel)","Comptes débiteurs et crédits de trésorerie — Électricité, gaz, eau (MDH) (déflaté, réel)"
1998-01-01,3324.8124,,
1998-04-01,3322.9488,,
1998-07-01,3144.7307,,
1998-10-01,3203.2544,,
1999-01-01,3277.7616,,
1999-04-01,3253.6735,,
1999-07-01,3166.8822,,
1999-10-01,3229.1723,,
2000-01-01,3269.7022,,
2000-04-01,3285.4759,,
2000-07-01,3557.9009,,
2000-10-01,3515.8628,,
2001-01-01,3540.1677,,
2001-04-01,3747.6845,,
2001-07-01,3604.3943,,
2001-10-01,3738.8663,,
2002-01-01,3746.9654,,
2002-04-01,3682.2315,,
2002-07-01,3710.1805,,
2002-10-01,3784.703,,
2003-01-01,3830.8127,,
2003-04-01,3947.776,,
2003-07-01,4138.8609,,
2003-10-01,4154.0088,,
2004-01-01,4178.1043,,
2004-04-01,4189.338,,
2004-07-01,4338.7489,,
2004-10-01,4140.0838,,
2005-01-01,4421.1911,,
2005-04-01,4555.4455,,
2005-07-01,4449.482,,
2005-10-01,4502.3345,,
2006-01-01,4683.8496,,
2006-04-01,4923.3165,,
2006-07-01,4713.8234,,
2006-10-01,4966.3106,,
2007-01-01,4650.6672,,
2007-04-01,4710.7206,,
2007-07-01,5054.373,,
2007-10-01,5182.221,,
2008-01-01,5268.0423,,
2008-04-01,5229.1032,,
2008-07-01,5217.4109,,
2008-10-01,5275.1039,,
2009-01-01,4806.2778,,
2009-04-01,4562.7786,,
2009-07-01,4555.0224,,
2009-10-01,4580.1843,,
2010-01-01,5520.1079,21717.2183,9238.8091
2010-04-01,5371.1896,25975.4408,10770.1622
2010-07-01,5411.728,27536.1119,10982.9099
2010-10-01,5415.3111,26466.6273,10205.0025
2011-01-01,5673.8437,30260.2761,13320.72
2011-04-01,5774.8784,32214.7024,14021.0578
2011-07-01,5758.6693,32645.616,14795.529
2011-10-01,6151.9574,33565.1811,14746.7178
2012-01-01,5576.2929,35386.1687,15775.8977
2012-04-01,5568.4853,36602.8141,15428.8219
2012-07-01,5614.3874,38272.2197,17284.7171
2012-10-01,5462.2856,37026.5561,15324.0353
2013-01-01,5747.1419,38350.6581,15557.1873
2013-04-01,5985.7998,38189.3936,12933.0283
2013-07-01,6192.3336,37596.8256,13388.8157
2013-10-01,6239.3486,37305.8634,10487.9482
2014-01-01,5957.5128,39828.2493,12598.65
2014-04-01,6158.6702,45433.526,16470.7663
2014-07-01,6116.969,43648.6735,15257.955
2014-10-01,6064.8481,48632.9491,15384.8448
2015-01-01,6335.825,48739.895,14589.9687
2015-04-01,6374.6225,50160.3489,16166.4342
2015-07-01,6440.937,50224.5563,16291.7726
2015-10-01,6411.6157,50431.0341,14406.1555
2016-01-01,6412.5598,51245.3439,14938.1087
2016-04-01,6303.3628,51230.4536,14299.5151
2016-07-01,6768.1809,49920.0187,12828.7057
2016-10-01,6529.0821,50895.8338,13999.0444
2017-01-01,6482.4952,50054.3728,12715.1648
2017-04-01,6648.5825,52854.4366,14285.4684
2017-07-01,6680.7203,51394.5893,13450.0949
2017-10-01,6944.9654,46486.5582,9356.2131
2018-01-01,7101.8252,47055.423,10258.9804
2018-04-01,6987.9651,48293.0259,11140.6707
2018-07-01,7281.8697,46710.0116,10779.2966
2018-10-01,7750.5765,43221.7507,9084.3184
2019-01-01,8502.276,40333.7137,7491.2603
2019-04-01,8397.5241,42018.7041,9365.0922
2019-07-01,8270.6441,39941.8181,9057.7623
2019-10-01,8218.9541,41611.17,9413.1081
2020-01-01,8396.341,40060.2708,9133.7304
2020-04-01,7620.0291,41936.3294,11475.6807
2020-07-01,8543.6851,37402.3721,7900.4533
2020-10-01,8407.8737,34064.7079,6229.063
2021-01-01,8592.8069,34510.1155,6386.5213
2021-04-01,8813.0302,35374.2289,7632.466
2021-07-01,8954.0396,37156.844,8420.9756
2021-10-01,9078.6209,37794.8988,9224.8039
2022-01-01,8519.2893,38635.1072,10137.1938
2022-04-01,8596.5053,42932.8405,14627.3561
2022-07-01,8555.2891,46048.4788,17909.6429
2022-10-01,8295.4975,48165.5843,19522.685
2023-01-01,7339.8454,45024.0333,15811.6455
2023-04-01,7694.7341,47362.3893,20056.6503
2023-07-01,7710.7063,51516.8459,17417.01
2023-10-01,7630.3399,57513.4142,21658.0399
2024-01-01,7857.6952,55901.8342,21101.9932
2024-04-01,7493.8371,54737.777,21430.6144
2024-07-01,8286.7787,57434.9573,24121.613
2024-10-01,8382.8155,60845.0258,27023.7992
2025-01-01,7862.3506,62130.4863,27299.8473
2025-04-01,7776.7844,61927.0998,26299.5966
2025-07-01,8362.76,61182.4275,25797.7034
2025-10-01,8204.0498,66191.9192,27278.2127
2026-01-01,7595.0307,64574.2701,28541.2661
