Date,Recettes touristiques (mensuel (En millions de dirhams)),Arrivés de touristes étrangers de Séjour (TES)
2007-12-01,,4030.898
2008-01-01,,253.107
2008-02-01,,553.612
2008-03-01,,945.937
2008-04-01,,1327.701
2008-05-01,,1691.925
2008-06-01,,2050.03
2008-07-01,,2485.012
2008-08-01,,2884.999
2008-09-01,,3258.324
2008-10-01,,3572.924
2008-11-01,,3918.671
2008-12-01,,4173.101
2009-01-01,,294.746
2009-02-01,,655.011
2009-03-01,,1096.415
2009-04-01,,1477.941
2009-05-01,,1838.76
2009-06-01,,2284.74
2009-07-01,,2644.15
2009-08-01,,2952.172
2009-09-01,,3349.64
2009-10-01,,3681.592
2009-11-01,,4038.528
2009-12-01,,4330.136
2010-01-01,3889.9575504275426,291.608
2010-02-01,3358.949019512726,618.625
2010-03-01,4107.672737221004,1055.963
2010-04-01,4497.769260652558,1488.301
2010-05-01,4325.475487393137,1919.275
2010-06-01,4475.324681522553,2351.0
2010-07-01,8553.967452759845,2860.0
2010-08-01,7920.839139335077,3264.039
2010-09-01,5411.551877364667,3657.948
2010-10-01,4999.5883333752645,4146.204
2010-11-01,5187.157983473939,4518.787
2010-12-01,4645.963051538582,4910.435
2011-01-01,4568.936679365792,348.0
2011-02-01,3790.595296571121,730.0
2011-03-01,4768.1264743073625,1137.0
2011-04-01,4694.9708467141245,1638.0
2011-05-01,4712.676287673917,2020.0
2011-06-01,4932.06607065853,2444.0
2011-07-01,8837.496866275716,2964.0
2011-08-01,7248.954432692966,3359.0
2011-09-01,5257.291909754833,3753.0
2011-10-01,5178.6788885191745,4205.0
2011-11-01,5045.500724843507,4545.0
2011-12-01,4459.177659314395,4934.0
2012-01-01,4418.559688865633,305.0
2012-02-01,4143.629055200673,645.0
2012-03-01,4220.643137540923,1052.0
2012-04-01,4816.814252634329,1529.0
2012-05-01,4390.992199587087,1941.0
2012-06-01,4491.732796626745,2407.0
2012-07-01,6535.593058268193,2912.0
2012-08-01,7613.999799706246,3386.0
2012-09-01,5594.735410153018,3795.0
2012-10-01,5585.988500161668,4260.0
2012-11-01,5013.821403158715,4614.0
2012-12-01,4713.624026700335,5012.0
2013-01-01,4551.793135773091,309.813
2013-02-01,3822.8101224104153,650.294
2013-03-01,3871.6154487385083,1106.285
2013-04-01,4670.161741458356,1572.923
2013-05-01,4959.043950085736,2024.424
2013-06-01,4201.723057874089,2490.937
2013-07-01,4929.279022789041,2986.876
2013-08-01,9615.812176116038,3530.112
2013-09-01,5412.056644762353,3974.55
2013-10-01,5609.354749248039,4475.124
2013-11-01,4170.004372922808,4866.468
2013-12-01,4372.826242728336,5323.333
2014-01-01,4804.566811001608,354.493
2014-02-01,3787.3215020880566,750.368
2014-03-01,4796.261776128539,1221.456
2014-04-01,5404.289703064816,1774.752
2014-05-01,4945.967917308595,2255.744
2014-06-01,4742.502113464535,2712.739
2014-07-01,5630.1756435694015,3210.915
2014-08-01,10463.781291038978,3725.7
2014-09-01,5794.445911895703,4156.851
2014-10-01,5729.427737965766,4639.985
2014-11-01,3883.4325747126136,5013.366
2014-12-01,4526.368827917761,5437.453
2015-01-01,4314.647790577502,329.83
2015-02-01,3687.3323648190085,699.116
2015-03-01,4341.196231726008,1150.577
2015-04-01,4871.661236474669,1672.362
2015-05-01,4604.461317352511,2138.667
2015-06-01,4253.785919281486,2524.538
2015-07-01,6558.158283839177,3039.592
2015-08-01,10475.29551354536,3498.591
2015-09-01,5926.523930595913,3933.366
2015-10-01,5563.663996894305,4402.222
2015-11-01,3916.162292239142,4749.094
2015-12-01,4074.269912305331,5151.704
2016-01-01,3969.5971486185463,316.871
2016-02-01,3910.8589945181893,666.452
2016-03-01,5055.418870879293,1108.197
2016-04-01,5157.0160776541925,1605.463
2016-05-01,4958.451661528557,2042.896
2016-06-01,3761.037041035328,2382.203
2016-07-01,6629.784517335068,2907.58
2016-08-01,11682.548875870136,3383.669
2016-09-01,6898.545619524435,3793.099
2016-10-01,4781.128828161108,4256.125
2016-11-01,4289.8694146503185,4642.43
2016-12-01,3880.0803758784277,5103.204
2017-01-01,4215.291750503017,358.611
2017-02-01,3627.13567839196,762.302
2017-03-01,5020.140986908358,1238.401
2017-04-01,5309.164149043303,1825.264
2017-05-01,5756.268806419258,2294.873
2017-06-01,3499.0,2707.806
2017-07-01,8001.005025125628,3299.59
2017-08-01,12984.96993987976,3825.729
2017-09-01,7125.248508946322,4293.24
2017-10-01,5839.800995024876,4865.197
2017-11-01,5394.059405940594,5334.334
2017-12-01,5363.636363636364,5864.92
2018-01-01,6170.0197238658775,431.349
2018-02-01,4494.945490584736,912.79
2018-03-01,5319.40594059406,1538.074
2018-04-01,6074.285714285715,2170.191
2018-05-01,5094.9069539667,2642.158
2018-06-01,3813.4765625,3162.781
2018-07-01,7156.410256410257,3779.689
2018-08-01,11123.076923076922,4375.268
2018-09-01,6134.872298624755,4898.663
2018-10-01,6131.594488188976,5551.263
2018-11-01,5286.777668952009,6108.448
2018-12-01,5105.917159763313,6679.101
2019-01-01,5880.4757185332,479.056
2019-02-01,4615.361744301287,997.902
2019-03-01,5840.7333994053515,1596.308
2019-04-01,6377.241379310345,2285.523
2019-05-01,5473.92578125,2760.168
2019-06-01,4850.682261208577,3360.257
2019-07-01,7814.454277286135,4094.137
2019-08-01,10970.910871694417,4756.897
2019-09-01,7329.931305201177,5293.18
2019-10-01,6726.444662095984,5950.53
2019-11-01,5695.024390243902,6468.633
2019-12-01,5742.341463414634,7043.48
2020-01-01,6594.525904203324,449.052
2020-02-01,5308.619000979433,1025.909
2020-03-01,4920.487804878049,1234.208
2020-04-01,1525.1953125,1234.909
2020-05-01,1028.0821917808219,1235.482
2020-06-01,1225.5152109911676,1236.188
2020-07-01,1700.3937007874015,1244.654
2020-08-01,1759.9029126213593,1253.292
2020-09-01,1671.6360116166506,1268.697
2020-10-01,2313.926499032882,1307.453
2020-11-01,2904.9659201557934,1338.113
2020-12-01,4633.561643835616,1407.994
2021-01-01,2534.7018572825027,50.534
2021-02-01,1803.7109375,83.22
2021-03-01,994.1520467836257,120.3
2021-04-01,1109.8265895953757,
2021-05-01,864.5533141210375,156.426
2021-06-01,1410.0580270793037,257.411
2021-07-01,4024.084778420038,522.172
2021-08-01,7167.630057803468,710.625
2021-09-01,4314.832535885168,853.431
2021-10-01,3509.505703422053,1102.073
2021-11-01,3555.0284629981024,1280.617
2021-12-01,1934.5971563981043,1284.335
2022-01-01,1088.1516587677727,2.774
2022-02-01,2282.752120640905,122.825
2022-03-01,6250.0,364.745
2022-04-01,4380.345768880801,707.991
2022-05-01,5502.722323049002,1144.407
2022-06-01,6422.382671480145,
2022-07-01,8666.368515205726,
2022-08-01,14243.532560214095,
2022-09-01,9130.742049469964,3339.0
2022-10-01,8051.011433597186,3975.775
2022-11-01,9518.388791593694,4469.788
2022-12-01,8335.083114610674,5064.774
2023-01-01,7554.395126196692,444.375
2023-02-01,6345.890410958905,986.018
2023-03-01,7827.202737382378,1583.685
2023-04-01,6134.177215189873,2238.613
2023-05-01,7298.305084745763,2868.69
2023-06-01,6483.319076133447,3466.998
2023-07-01,8302.642796248934,4219.205
2023-08-01,12496.176720475785,4835.348
2023-09-01,7657.961246840775,5335.558
2023-10-01,7248.735244519393,5987.151
2023-11-01,7746.40743871513,6513.777
2023-12-01,6397.631133671744,7149.994
2024-01-01,6897.021276595744,494.208
2024-02-01,6369.4539249146765,1136.941
2024-03-01,7521.186440677967,1827.967
2024-04-01,6820.556023588879,2582.067
2024-05-01,8139.2405063291135,3349.279
2024-06-01,6552.100840336135,4032.636
2024-07-01,8971.380471380471,4892.823
2024-08-01,14369.256474519632,5722.229
2024-09-01,9000.835421888052,6421.663
2024-10-01,8382.747068676717,7293.112
2024-11-01,6437.080536912752,8013.579
2024-12-01,6873.1092436974795,8797.771
2025-01-01,8202.668890742285,624.848
2025-02-01,6374.896093100581,1386.225
2025-03-01,6332.77731442869,2154.964
2025-04-01,9635.983263598326,3121.688
