Date,VA Information communication (Mdh),Parc téléphonie mobile global (en milliers),Parc Internet global  (en milliers)
1998-01-01,1039.9252,,
1998-04-01,1110.388,,
1998-07-01,1210.7829,,
1998-10-01,1317.8775,,
1999-01-01,1323.1916,,
1999-04-01,1446.5079,,
1999-07-01,1602.3012,,
1999-10-01,1763.547,,
2000-01-01,1800.5778,,
2000-04-01,2015.5542,,
2000-07-01,2205.8982,,
2000-10-01,2394.9096,,
2001-01-01,2598.9712,,
2001-04-01,2758.0952,,
2001-07-01,2876.202,,
2001-10-01,2955.201,,
2002-01-01,2884.08,,
2002-04-01,2913.9534,,
2002-07-01,2975.056,,
2002-10-01,3057.2055,,
2003-01-01,3127.3101,,
2003-04-01,3239.152,,
2003-07-01,3340.6047,,
2003-10-01,3432.8558,,
2004-01-01,3508.3873,,
2004-04-01,3580.2117,,
2004-07-01,3642.6779,,
2004-10-01,3695.0952,,
2005-01-01,3715.3952,,
2005-04-01,3769.6606,,
2005-07-01,3836.0403,,
2005-10-01,3914.2401,,
2006-01-01,3968.5577,12904.0,316.0
2006-04-01,4059.9366,13244.0,342.0
2006-07-01,4153.0097,14900.0,357.0
2006-10-01,4246.655,16005.0,400.0
2007-01-01,4254.7307,17126.0,433.0
2007-04-01,4442.9584,17638.0,477.0
2007-07-01,4659.1565,19188.0,490.0
2007-10-01,4716.4022,20029.0,526.0
2008-01-01,4808.7198,20616.0,582.0
2008-04-01,4765.7682,21412.0,654.0
2008-07-01,4697.308,22294.0,690.0
2008-10-01,4897.5827,22816.0,757.0
2009-01-01,5181.4723,23516.0,834.0
2009-04-01,5083.8048,23534.0,963.0
2009-07-01,5038.8733,25077.0,1048.0
2009-10-01,4989.2564,25311.0,1187.0
2010-01-01,5055.7856,27046.0,1362.0
2010-04-01,5094.68,27879.0,1500.0
2010-07-01,5447.3783,30503.0,1647.0
2010-10-01,5583.7053,31982.0,1867.0
2011-01-01,6099.4227,33375.0,2173.0
2011-04-01,6016.4288,34975.0,2346.0
2011-07-01,5579.6757,36150.0,2882.0
2011-10-01,5337.8286,36554.0,3182.0
2012-01-01,6950.3883,36239.0,3445.0
2012-04-01,7101.4337,37422.0,3759.0
2012-07-01,7340.1775,38287.0,3877.0
2012-10-01,7457.5032,39016.0,3957.0
2013-01-01,7270.4995,39516.0,4061.0
2013-04-01,7321.6705,39991.0,4900.0
2013-07-01,7438.1899,41324.0,5220.0
2013-10-01,7581.5177,42424.0,5776.0
2014-01-01,7446.2513,43380.0,6390.0
2014-04-01,7585.8117,43295.0,7798.0
2014-07-01,7826.8353,44258.0,8498.0
2014-10-01,8135.1017,44115.0,9969.0
2015-01-01,8168.0754,43387.0,10318.0
2015-04-01,7996.8286,43010.0,11256.0
2015-07-01,7795.1281,44449.0,13898.0
2015-10-01,7703.9679,43080.0,14471.0
2016-01-01,8051.4816,42064.0,14480.0
2016-04-01,8316.8755,41440.0,14885.0
2016-07-01,8448.5378,43341.0,16923.0
2016-10-01,8550.0886,41514.0,17058.0
2017-01-01,7932.9194,41785.0,18256.0
2017-04-01,8145.8972,42052.0,19243.0
2017-07-01,8269.2001,44250.0,22564.0
2017-10-01,8349.4724,43916.0,22192.0
2018-01-01,8263.3552,43693.0,21126.0
2018-04-01,8472.737,44027.0,21471.0
2018-07-01,8546.9373,46041.0,24021.0
2018-10-01,8561.7595,44738.0,22782.0
2019-01-01,8569.0402,44730.0,23095.0
2019-04-01,8619.988,45213.0,23569.0
2019-07-01,8702.9669,47503.0,26365.0
2019-10-01,8799.8635,46667.0,25385.0
2020-01-01,9177.0096,45874.0,26371.0
2020-04-01,8985.8795,45516.0,27207.0
2020-07-01,8967.5024,48072.0,28748.0
2020-10-01,9344.4081,49421.0,29803.0
2021-01-01,8855.9023,49473.0,30599.0
2021-04-01,8872.424,49241.0,31314.0
2021-07-01,8956.4386,52012.0,33860.0
2021-10-01,9245.0359,51334.0,32846.0
2022-01-01,9300.3561,51287.0,32551.0
2022-04-01,9315.4018,51553.0,33449.0
2022-07-01,9421.0802,54635.0,36581.0
2022-10-01,9250.2609,52898.0,35574.0
2023-01-01,9774.1908,52879.0,35640.0
2023-04-01,9880.4029,54117.0,36614.0
2023-07-01,9833.6962,57296.0,39539.083
2023-10-01,9824.8501,55873.0,38286.815
2024-01-01,10091.6805,55233.0,38296.0
2024-04-01,10104.4223,56932.0,39145.0
2024-07-01,10041.0382,60245.0,42127.0
2024-10-01,10214.2788,58286.0,40220.0
2025-01-01,9919.1693,57389.0,39864.0
2025-04-01,10132.3635,58777.0,41188.0
2025-07-01,9970.5718,61139.0,43408.0
2025-10-01,10212.5456,59163.0,41464.0
2026-01-01,10117.5527,57059.0,41078.0
